word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
online advertising,,quảng cáo trực tuyến,advertising a product or service on the internet,"The growing popularity of online advertising has resulted in a
loss of revenue for the printed media in general.","Sự phổ biến ngày càng rộng rãi của quảng cáo trực tuyến đã dẫn
đến sự thất thu cho báo in nói chung.",phrase,IELTS
to slash the prices of products,,giảm giá sốc,to reduce the price dramatically,"Supermarkets, for example, always carry huge in-store
advertisements when they slash the prices of products.","Các siêu thị luôn tiến hành các chương trình xúc tiến lớn tại chỗ khi
họ giảm giá sốc các sản phẩm.",phrase,IELTS
to be wary of something,,thận trọng với cái gì,not completely trusting or certain about something,"Consumers must always be wary of the claims made in
advertisements, because such claims are often exagerrated or untrue.","Người tiêu thụ phải luôn thận trọng với những tuyên bố trong các
quảng cáo, vì những lời đó thường nói quá lên hoặc không đúng sự thật.",phrase,IELTS
to promote their products,,xúc tiến sản phẩm,to make products popular by advertising them,"Most large enterprises contract specialist marketing companies
to promote their products.","Đa số các doanh nghiệp lớn ký hợp đồng với những công ty chuyên
về marketing để xúc tiến sản phẩm.",phrase,IELTS
to buy goods impulsively,,mua hàng một cách bốc đồng,"to buy things suddenly without any planning and without
considering the effects they may have",Advertising motivates consumers to buy goods impulsively.,"Quảng cáo kích động người tiêu dùng mua hàng một cách bốc
đồng.",phrase,IELTS
to be swayed by advertisements,,bị dao động bởi quảng cáo,to be influenced to buy things as a result of advertising,"If consumers were not easily swayed by advertisements, the
advertising industry would not exist.","Nếu người tiêu dùng không dễ bị dao động bởi quảng cáo thì
ngành công nghiệp quảng cáo đã không tồn tại.",phrase,IELTS
market research,,nghiên cứu thị trường,the action of collecting information about what people buy,"In deciding how to promote their products or services, businesses
should first conduct market research.","Trong việc quyết định xúc tiến sản phẩm hay dịch vụ, nhà kinh
doanh trước hết cần tiến hành nghiên cứu thị trường.",phrase,IELTS
a price war,,cuộc chiến về giá,"a situation in which companies or shops continually reduce their
prices in order to attract customers away from their competitors",Advertising plays a key role in price wars between supermarkets.,"Quảng cáo đóng vai trò quyết định trong cuộc chiến về giá giữa các
siêu thị.",phrase,IELTS
to launch a product,,phát hành sản phẩm,to introduce a new product,"Companies have recognised that the services of the marketing
industry are essential to launch a new product successfully.","Công ty đã nhận ra dịch vụ marketing là rất cần thiết để phát hành
sản phẩm thành công.",phrase,IELTS
target audience,,khách hàng mục tiêu,consumers whom businesses aim at when selling their products,"Companies which sell soft drinks, like Coca Cola, aim mainly at a
target audience of children and adolescents.","Các công ty bán nước giải khát như Coca Cola chủ yếu nhắm tới
khách hàng mục tiêu là trẻ em và trẻ vị thành niên.",phrase,IELTS
brand awareness,,nhận thức thương hiệu,"the action of bringing the name of a company to the attention of
the public","Advertising, not the quality of the product, is responsible for
creating brand awareness among consumers, as can be seen by the
success of market leaders such as Nike or Coca Cola.","Quảng cáo, chứ không phải chất lượng của sản phẩm, là điều tạo
nên sự nhận thức thương hiệu của người tiêu dùng. ĐIều này có thể thấy
bởi sự thành công của những doanh nghiệp dẫn đầu thị trường như Nike
hay Coca Cola.",phrase,IELTS
prime time television,,giờ vàng,the hours during which most people are watching TV,"Although advertising on prime time television is expensive, it is
guaranteed to reach a large audience.","Dù quảng cáo vào giờ vàng rất đắt, nhưng lại đảm bảo tiếp cận
được số người xem rất đông.",phrase,IELTS
the electronic media,,truyền thông điện tử,"broadcast media which use electronic technology, such as the
internet, television, radio, DVDs etc","In contast to print media, the electronic media are growing in
popularity, especially among the youth.","Trái ngược với truyền thông giấy, truyền thông điện tử đang ngày
càng phổ biến, đặc biệt với giới trẻ.",phrase,IELTS
to impose regulations on,,đặt quy định cho cái gì,to control something by means of rules,"Governments must impose regulations on the advertising
industry in order to protect consumers.","Chính phủ cần đặt quy định cho ngành quảng cáo để bảo vệ người
tiêu dùng.",phrase,IELTS
commercial advertising,,quảng cáo thương mại,"advertising on the radio or television, between or during
programmes.","Commercial advertising on television provides the revenue for
most TV channels.","Quảng cáo thương mại trên tivi mang đến nguồn doanh thu cho đa
số các kênh truyền hình.",phrase,IELTS
telemarketing,,tiếp thị qua điện thoại,"a method of selling things or taking orders for sales by
telephone","Telemarketing has become a growth industry, employing
millions of people across the world.","Tiếp thị qua điện thoại đã trở thành một nghề phổ biến, có hàng
triệu người trên khắp thế giới làm nghề này.",phrase,IELTS
