word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to be a government priority,,ưu tiên của chính phủ,"something which is so important that the government should
deal with it first.","In developing countries, spending on health and education
should be top government priorities.","Ở các quốc gia đang phát triển, việc chi cho y tế và giáo dục nên là
những ưu tiên hàng đầu của chính phủ.",phrase,IELTS
to prioritize expenditure on,,ưu tiên chi tiêu cho cái gì,to put the need to spend money on certain things first,"I believe that it is important to prioritize expenditure on
medical research in order to save lives.","Tôi tin rằng cần phải ưu tiên chi tiêu cho nghiên cứu y tế để cứu
người.",phrase,IELTS
to provide funding for,,cung cấp hỗ trợ cho cái gì (gây quỹ hỗ trợ),to give money to enable something to be done,"Providing funding for health care must be a priority of
governments.","Gây quỹ hỗ trợ cho chăm sóc sức khỏe nên là ưu tiên của các quốc
gia.",phrase,IELTS
high on the agenda,,,"something which is among the first things in the list of actions
to be taken","The rehabilitation of prisoners must be high on the agenda of
prison authorities everywhere.","Việc tái hòa nhập cộng đồng của những người từng ở tù nên là …..
của chính quyền ở mọi nơi. .",phrase,IELTS
to exert pressure on,,gây áp lực cho cái gì đó,to use power to influence somebody or something,"Environmental organisations should exert pressure on
governments to invest in renewable energy projects.","Các tổ chức về môi trường cần gây áp lực cho chính phủ để đầu tư
cho các dự án năng lượng tái tạo.",phrase,IELTS
to form a pressure group,,"thành lập nhóm người gây sức ép (nhóm áp
lực)","to organize a group of people who try to influence the
government to achieve the action that they want.","Activists in my country have formed a pressure group to
persuade the government to close nuclear power stations.","Những nhà hoạt động tại nước tôi đã thành lập một nhóm gây sức
ép để thuyết phục chính phủ đóng cửa các nhà máy hạt nhân.",phrase,IELTS
to provide public subsidies for,,cung cấp trợ cấp công,"to give government money to reduce the costs of services or to
produce goods in order to keep the price low","In order to promote agriculture that is environmentally-friendly,
the government should provide public subsidies for organic farmers.","Để đẩy mạnh phát triển nông nghiệp thân thiện với môi trường,
chính phủ nên cung cấp trợ cấp công cho những người nông dân trồng
hữu cơ.",phrase,IELTS
international bodies,,tổ chức xuyên quốc gia (quốc tế),organizations which operate in many countries,"National governments ought to give funds to international
bodies, like the Red Cross and the United Nations, to deal with emergency
situations.","Chính phủ các quốc gia nên hỗ trợ quỹ cho các tổ chức quyoocs tế
như Hội chữ thập đỏ và Liên Hợp Quốc để đối phó với những vấn đề khẩn
cấp.",phrase,IELTS
national and local authorities,,chính quyền quốc gia và địa phương,"government organizations acting at a national level or within a
smaller, local area","Tackling crime is a responsibility of both national and local
authorities.","Giải quyết tội phạm là trách nhiệm của cả chính quyền quốc gia và
địa phương.",phrase,IELTS
non-governmental organizations: NGOs,,tổ chức phi chính phủ,"a charity or association that is independent of government or
business","Individuals could donate money to NGOs to help others in need
of food, shelter and medical services.","Các cá nhân có thể quyên góp tiền cho các tổ chức phi chính phủ
để giúp đỡ những người đang cần thức ăn, chỗ ở và dịch vụ y tế.",phrase,IELTS
to campaign for something,,vận động cho cái gì,"to take part in a series of activities in order to achieve a specific
aim.","People who are concerned about the environment should
campaign for stricter controls on pollution.","Những người quan tâm đến môi trường nên vận động để có những
luật kiểm soát nghiêm khắc hơn về vấn đề ô nhiễm.",phrase,IELTS
government decision-making,,quá trình ra quyết định của chính phủ,the process of deciding about something official,"Pressure groups are sometimes able to influence government
decision-making.","Những nhóm gây sức ép đôi khi có thể ảnh hưởng tới quá trình ra
quyết định của chính phủ.",phrase,IELTS
to impose an official ban on,,chính thức ban hành lệnh cấm cái gì,to say or declare that something is not allowed,"Governments ought toimpose an official ban on the use of
mobile phones on public transport.","Chính phủ nên chính thức ban hành lệnh cấm sử dụng điện thoại
trên các phương tiện giao thông công cộng",phrase,IELTS
government sponsorship,,sự bảo trợ của chính phủ,the act of providing financial support by the government,"Government sponsorship of the arts is necessary if creative
talent is to be encouraged.","Sự bảo trợ của chính phủ cho nghệ thuật là cần thiết nếu muốn các
tài năng sáng tạo được khuyến khích.",phrase,IELTS
a welfare state,,phúc lợi nhà nước,"a taxation system which allows governments to provide for the
economic and social well-being of its citizens","In order to eradicate poverty, I believe that a welfare state
should be established in all developing countries.","Để giải quyết nạn nghèo đói, tôi tin rằng phúc lợi nhà nước nên
được thiết lập ở tất cả các nước đang phát triển.",phrase,IELTS
a stopgap measure,,biện pháp tạm thời,"a policy or action adopted for a short time until some more
permanent solution is found","Building more prisons will not solve the problem of rising crime
rates, but it is a stopgap measure which the government must take to
protect ordinary citizens.","Xây nhiều nhà tù không giải quyết vấn đề tội phạm gia tăng, nhưng đó
là biện pháp tạm thời mà chính phủ bắt buộc phải sử dụng để bảo vệ công
dân nước mình.",phrase,IELTS
