word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
A space station,,"trạm không gian, trạm vũ trụ","a large structure that is sent into space and remains above the
earth as a base for people working and travelling in space","Even maintaining an international space station is so expensive
that the costs must be shared by several countries.","Duy trì một trạm vũ trụ quốc tế tốn kém đến mức chi phí đó cần
được chia sẻ bởi nhiều quốc gia.",phrase,IELTS
Space vogages,,chuyến du hành vào vũ trụ,journeys into space,Public interest in the early space voyages was unprecedented.,"Sự quan tâm của công chúng về những chuyến du hành vào vũ trụ
là chưa từng có trong tiền lệ.",phrase,IELTS
Space tourism,,du lịch vũ trụ,travelling to space as a form of vacation/holiday,"Billionaires are the only people who are likely to experience
space tourism in the foreseeable future.","Tỉ phú là những người duy nhất chắc chắn sẽ trải nghiệm du lịch vũ
trụ trong tương lai gần.",phrase,IELTS
To discover the mysteries of the universe,,khám phá những bí ấn vũ trụ,to find out more about space,"Space exploration is an essential element in our attempt to
discover the mysteries of the universe.","Thám hiểm không gian là một phần quan trọng trong nỗ lực của
chúng ta nhằm khám phá những bí ẩn của vũ trụ.",phrase,IELTS
Space missions,,Nhiệm vụ không gian/ chuyến bay vào không gian,flights into space,"Recent space missions have begun to explore Mars and more
distant parts of the universe.","Những chuyến bay vào không gian đã bắt đầu để thám hiểm sao
Hỏa và những phần xa hơn của vũ trụ.",phrase,IELTS
The conquest of space,,Chinh phục không gian,"the act of gaining control over the difficult task of exploring
space","The conquest of space is a challenge that continues to inspire
the public imagination.","Chinh phục không gian là một thử thách vẫn luôn tạo cảm hứng cho
sự tưởng tượng của công chúng.",phrase,IELTS
To be an inspiration to,,là nguồn cảm hứng cho,"to make somebody excited about something, especially thinking
of the future","The images of the first men on the moon were an inspiration to
people, and made them more hopeful about the future.","Hình ảnh những người đầu tiên đặt chân lên măt trăng là nguồn
cảm hứng cho con người, khiến họ hy vọng nhiều hơn về tương lai.",phrase,IELTS
Spacesuits and helmets,,bộ đồ không gian và mũ du hành vũ trụ,the clothing worn by astronauts.,"Astronauts must find it difficult to carry out maintenance tasks
during space flights wearing uncomfortable spacesuits and helmets.","Các phi hành gia sẽ gặp khó khăn khi thực hiện các nhiệm vụ bảo trì
trong các chuyến du hành vũ trị khi mặc những bộ đồ không gian và mũ
du hành vũ trụ không thoải mái.",phrase,IELTS
Vacuum-packed food,,thực phẩm đóng gói chân không,"a space that is completely empty of all substances, including all
air or other gas","During manned space flights, astronauts have to live off
vacuum-packed food.","Trong những chuyến du hành có người lái, các phi hành gia phải
sống nhờ những thực phẩm đóng gói chân không.",phrase,IELTS
Weightless conditions,,trạng thái không trọng lượng,,"Astronauts work in weightless conditions, which must make
even routine tasks very difficult.","Các phi hành gia làm việc trong trạng thái không trọng lượng nên
việc thực hiện các nhiệm vụ thông thường trở nên rất khó khăn.",phrase,IELTS
To endure hardships and discomforts,,chịu đựng gian khổ,to experience and deal with conditions that are unpleasant,"I doubt that space tourism will have mass appeal in the future.
Travellers would have to endure hardships and discomforts such as
weightless conditions, vacuum-packed food and wearing spacesuits and
helmets.","Tôi nghi ngờ việc du lịch vũ trụ sẽ thu hút số đông người dân (đại
chúng) trong tương lai. Những người đi du lịch sẽ phải trải qua những
điều kiện gian khổ như không trọng lượng, thức ăn đóng gói chân không
và mặc bộ đồ không gian.",phrase,IELTS
To float through space,,trôi nổi trong không gian,to move slowly in the air,"Space tourism would be really boring, simply floating through
space and looking out of the window of the spacecraft.","Du lịch vũ trụ sẽ rất nhàm chán, chỉ là trôi nổi trong không gian và
nhìn ra ngoài cửa sổ của tàu du hành vũ trụ.",phrase,IELTS
Zero gravity,,vô trọng lực,"having no force to pull objects to the ground, so that they float.","Living in conditions of zero gravity in space must be extremely
tiring and uncomfortable.","Sống trong trạng thái vô trọng lực chắc hẳn rất mệt mỏi và không
hề thoải mái.",phrase,IELTS
Satellite technology,,công nghệ vệ tinh,"the technology of sending electronic devices into space for
communications purposes","Satellite technology has resulted in huge advances in
communications and information-gathering.","Công nghệ vệ tinh đã mang lại lợi ích to lớn cho việc thu thập
thông tin và ngành viễn thông.",phrase,IELTS
A spin-off,,"sản phẩm phụ, lợi ích sinh ra","a useful result of an activity that was designed to produce
something different
Explanation: Space programs have produced spin-offs that have
revolutionized
modern
life,
such
as
satellite
television
and
communications.",,"Các chương trình không gian đã sinh ra những sản phẩm phụ khiến
cách mạng hóa cuộc sống hiện đại như ti vi vệ tinh và viễn thông.",phrase,IELTS
To make space travel commercially viable,,"khiến du hành vũ trụ có thể
phát triển theo hướng thương mại",to make space travel a success financially,"Holidays in space are just fantasy. It is doubtful if it will ever be
possible to make space travel commercially viable.","Những kì nghỉ trong không gian chỉ là trong tưởng tượng. Việc du
lịch vũ trụ có thể phát triển theo hướng thương mạ hay không vẫn còn
gây tranh cãi.",phrase,IELTS
The quest for a new homeland,,cuộc tìm kiếm vùng đất định cư mới,the search for a new place to inhabit,"As humans are destroying their own planet, the quest for a
new homeland in the universe is essential.","Vì con người đang phá hủy hành tinh của chính họ nên cần phải tìm
ra vùng đất trong vũ trụ để sinh tồn.",phrase,IELTS
Alien life forms,,dạng sinh vật ngoài hành tinh,creatures from another world,"One of the most exciting possibilities of the space program is
finding alien life forms on other planets.","Một trong những lợi ích gây hứng thú nhất của những chương trình
không gian là tìm ra sinh vật ngoài hành tinh.",phrase,IELTS
Extraterrestrial life,,"sự sống ngoài trái đất , ngoài khí quyển",life that may exist on another planet,"The quest for extraterrestrial life will prove that humans are not
alone in the universe.","Cuộc tìm kiếm sự sống ngoài trái đất sẽ chứng minh rằng con người
không đơn độc trong vũ trụ",phrase,IELTS
In the realm of science fiction,,trong lĩnh vực khoa học viễn tưởng,"only possible in science fiction stories, only fantasy","Most of the arguments in favour of space programs are in the
realm of science fiction.","Đa số những lý lẽ bênh vực các chương trình không gian chỉ là khoa
học viễn tưởng.",phrase,IELTS
