word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to ease traffic flow,,giảm lưu lượng giao thông,to enable traffic to move more easily,"The introduction of bus and cycle lanes would help to ease
traffic flow in city centres.","Việc dành đường ưu tiên cho xe bus và xe đạp sẽ giúp giảm lưu
lượng giao thông tại các trung tâm thành phố.",phrase,IELTS
commuting times,,thời gian đi lại,the time taken travelling to and from work,"Firms should introduce flexible working hours to cut the
commuting times of employees.","Các doanh nghiệp nên đưa ra thời gian làm việc linh hoạt để giảm
bớt thời gian đi lại cho nhân viên.",phrase,IELTS
off-peak travel,,di chuyển ngoài giờ cao điểm,travel at times when fewer people are using public transport,Cheap fares should be introduced for off-peak travel.,Nên đưa ra giá vé rẻ cho việc di chuyển ngoài giờ cao điểm.,phrase,IELTS
to grind to a halt,,chầm chậm dừng lại,to go slower and then stop completely,"In my city, Paris, traffic regularly grinds to a halt during the rush
hour.","Trong thành phố Paris, các phương tiện thường đi chầm chậm rồi
dừng hẳn vào giờ cao điểm.",phrase,IELTS
congestion charge,,Phí ùn tắc,"an amount of money that people have to pay for driving their
cars into the centre of some cities, as a way of stopping the city centre
from becoming too full of traffic","More cities should follow the example of London and introduce a
congestion charge in order to ease traffic flow in the city centre.","Ngày càng nhiều thành phố đi theo London và đưa ra phí ùn tắc để
giảm lưu lượng giao thông trong thành phố.",phrase,IELTS
a traffic warden,,người giám sát giao thông,"a person whose job is to check that people do not park their
cars in the wrong place or for longer than is allowed","More traffic wardens should be appointed to ensure that cars
are parked only in permitted areas.","Thành phố cử ra nhiều cảnh sát giám sát giao thông hơn để đảm
bảo ô tô đỗ đúng nơi cho phép.
19.road safety measures
Meaning: actions to ensure that the roads are made safer
Example: The number of deaths on the roads would be reduced if the
authorities introduced stricter road safety measures.
Dịch đại ý
Road safety measures: các biện pháp an toàn giao thông đường bộ
Nghĩa: Số người tử vong trên đường bộ sẽ giảm đi nếu chính quyền đưa
ra các biện pháp an toàn giao thông đường bộ chặt chẽ hơn.",phrase,IELTS
to conduct regular vehicle inspections,,"kiểm duyệt phương tiện thường
xuyên","to inspect all cars, buses and trucks at regular intervals to check
that they are in good condition and safe to drive","Every town and city should have centres which conduct regular
vehicle inspections.",,phrase,IELTS
to install speed cameras,,cài đặt camera tốc độ,"to put cameras on certain roads to check that cars are obeying
the speed limits.","Local authorities must instal speed cameras near all schools and
hospitals to limit the speed at which vehicles are allowed to travel.","Chính quyền địa phương phải cài đặt camera tốc độ gần mọi
trường học và bệnh viện để hạn chế tốc độ ở nơi phương tiện được phép
di chuyển.",phrase,IELTS
traffic calming,,điều hòa giao thông,"building raised areas on roads, as a way of making cars go more
slowly","Traffic calming meaures in towns and cities would make the
roads safer for pedestrians and cyclists.","Các biện pháp điều hòa giao thông trong thành phố sẽ giúp đường
phố an toàn hơn cho người đi bộ và người đi xe đạp.",phrase,IELTS
driving while intoxicated,,lái xe khi say rượu,the crime of driving a vehicle after drinking too much alcohol,"Driving while intoxicated is a serious crime, and those who
drive while under the influence of drink must be severely punished.","Lái xe khi say rượu là một tội nặng và những người đó cần bị trừng
phạt nghiêm khắc.",phrase,IELTS
to raise petrol prices,,tăng giá xăng,to increase the price which people pay for petrol,"Raising petrol prices would not be an effective method of
reducing the amount of traffic on the roads.","Tăng giá xe không phải là một biện pháp hiệu quả để giảm lượng
phương tiện di chuyển trên đường.",phrase,IELTS
to be punctual,,đúng giờ,to arrive at the correct time,"In order to attract more people to use public transport, it is
essential that it is clean, reliable, safe and punctual.","Để thu hút nhiều người sử dụng phương tiện công cộng hơn, cần
phải giữ cho phương tiện đó sạch sẽ, an toàn, tiện lợi và đúng giờ.",phrase,IELTS
freight services,,dịch vụ chở hàng,the system of transporting goods,"Railways must provide more freight services in order to reduce
the number of trucks on the roads.","Các đường ray cần cung cấp nhiều dịch vụ chở hàng hơn để giảm
lượng xe tải trên đường.",phrase,IELTS
a tachograph,,đồng hồ tốc độ,"a device used to measure the speed of trucks and to record the
times when a driver has stopped to rest","In the interests of road safety, tachographs should be installed
in all trucks to ensure that long-distance drivers are taking regular rest
periods.","Trong vấn đề giao thông đường bộ, đồng hồ tốc độ cần được cài
đặt ở tất cả các xe tải để đảm bảo những lái xe đường dài nghỉ ngơi
thường xuyên.",phrase,IELTS
roll-on roll-off ferries,,"phà ro ro (loại phà được thiết kế để chở các loại
hàng hóa có bánh xe như ô tô, rơ móc, toa xe hoả)",ships designed so that you can simply drive a car on and off the ship,"Many motorists use roll-on roll-off ferries to take their cars
overseas.",Rất nhiều người lái xe sử dụng phà ro-ro để đưa ô tô qua biển.,phrase,IELTS
economy airlines/budget airlines,,hàng không giá rẻ,companies which offer cheap flights,"Budget airlines have made it affordable for people to go on
holiday or to visit relatives in other countries.","Hàng không giá rẻ đã giúp cho mọi người có thể đi du lịch và thăm
thân ở nước ngoài.",phrase,IELTS
online booking,,đặt trước trực tuyến,"the action of buying a ticket on the internet in order to travel
somewhere","Long-distance bus and train services are now more convenient to
use, as a result of their online booking facilities which enable travellers to
reserve and pay for their tickets from home or from work.","Xe bus và tàu đường xa bây giờ thuận tiện hơn nhiều nhờ có các
thiết bị cho phép đặt vé trực tuyến, cho phép người dùng đặt trước và trả
tiền vé ngay tại nhà hoặc nơi làm việc.",phrase,IELTS
