word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a lack of calories to meet his/her energy needs,,"thiếu calo để cung cấp đủ năng
lượng cần thiết cho cơ thể.","not having enough calories in one's diet to provide all the energy
that a person uses","If a vegetarian's daily meals are not properly balanced, he or she
might suffer from a lack of calories to meet his or her energy needs.","Nếu những bữa ăn thường ngày của một ngày ăn chay không được cân
bằng thực sự, người đó sẽ bị thiếu calo để cung cấp đủ năng lượng cần thiết
cho cơ thể.",phrase,IELTS
home-made food,,đồ ăn tự tay làm,food which is prepared at home using individual ingredients,"In developed countries, the young generation must rediscover the
art of preparing home-made food, as part of a healthy lifestyle.",,phrase,IELTS
to have a snack,,ăn bữa phụ / ăn vặt,to eat a small amount of food between main meals,"Unless people are doing vigourous exercise, it is a bad habit tohave
a snack between meals.","Trừ khi đang tập các bài tập mạnh thì ăn vặt giữa các bữa chính là thói
quen không tốt.",phrase,IELTS
to eat a balanced diet,,chế độ ăn cân đối,to eat the correct types and amounts of food,The health benefits of eating a balanced diet are obvious.,Những lợi ích cho sức khỏe khi ăn theo chế độ ăn cân đối là rất rõ ràng.,phrase,IELTS
a vegetarian diet,,chế độ ăn chay,a diet with no fish or meat,"If everyone in the world followed a vegetarian diet, there would be
no hunger or starvation.","Nếu mọi người trên thế giới theo ăn theo chế độ ăn chay thì sẽ không
còn nạn đói và chết đói.",phrase,IELTS
a vegan diet,,chế độ ăn chay hoàn toàn,"a diet without any animal products, such as meat, milk or eggs","Many people active in animal rights movements worldwide follow a
vegan diet, because they believe that we should not exploit animals.","Nhiều người thuộc phong trào đấu tranh cho quyền động vật trên thế
giới ăn theo chế độ ăn chay hoàn toàn vì họ nghĩ chúng ta không nên bóc lột
động vật.",phrase,IELTS
to go on a diet,,ăn kiêng,"to eat less, or to eat only certain types of food in order to lose
weight","Many people in the West eat too much and – from time to time –
have to go on a diet.","Nhiều người phương Tây ăn quá nhiều – rồi thỉnh thoảng lại phải ăn
kiêng.",phrase,IELTS
to follow a recipe,,theo công thức,to cook a meal using instructions,"Whether you follow a recipe or make something up as you go
along, I think cooking is a very creative pastime.","Dù bạn nấu theo công thức hay nấu tùy ý theo cách của bạn thì tôi cho
rằng nấu ăn là một cách giết thời gian rất sáng tạo.",phrase,IELTS
Chinese cuisine,,ẩm thực Trung Hoa,"A type of food that is traditional in China – you can write ‘Italian
cuisine/Vietnamese cuisine' in the same way","Chinese cuisine is an important part of the traditional culture of the
country.","Ẩm thực Trung Hoa là một phần quan trọng trong văn hóa truyền
thống của nước này.",phrase,IELTS
a diet rich in….,,chế độ ăn giàu cái gì đó,a diet which contains a lot of something,"A diet rich in fibre, such as dried fruits, helps to keep people
healthy and active.","Chế độ ăn nhiều chất xơ, như các loại hoa quả sấy, giúp người ta khỏe
mạnh và năng động.",phrase,IELTS
a diet low in…..,,chế độ ăn nghèo cái gì đấy,a diet which contains very little of something,"To prevent obesity, people should avoid overeating and eat a diet
low in fats and sugar.","Để ngăn ngừa béo phì, mọi người nên tránh ăn quá nhiều và ăn chế độ
ăn ít chất béo và đường.",phrase,IELTS
a low-calorie diet,,chế độ ăn ít calo,"a diet of food which does not produce a lot of energy [measured in
calories] when you eat it",Those who are overweight should follow a low-calorie diet.,Những người thừa cân nên ăn theo chế độ ăn ít calo.,phrase,IELTS
to count calories,,tính số calo,"to monitor the food that you eat for low calories, to control or
reduce your weight","Slimmers who are trying to lose weight sometimes take this very
seriously and count the calories in everything they eat and drink each day.","Những người đang nhịn ăn để giảm cân đôi lúc rất nghiêm túc trong
việc này và họ tính số calo họ ăn và uống mỗi ngày.",phrase,IELTS
to provide somebody with a healthier diet,,"cung cấp chế độ ăn lành mạnh hơn cho ai
đó","to give somebody a diet which is more healthy than that which they
have at present","Eating only fresh fruit and vegetables provides people with a
healthier diet.","Chỉ ăn rau và hoa quả sẽ cung cấp cho mọi người chế độ ăn lành mạnh
hơn.",phrase,IELTS
to put on weight,,tăng cân,to become fatter and heavier,"Those who wish to avoid putting on weight should avoid fatty and
sugary foods.","Những người luôn mong tránh được việc tăng cân thì cần tránh đồ ăn
có nhiều chất béo và nhiều đường.",phrase,IELTS
a slimming club,,clb giảm cân,a group of people who join together to try to lose weight,"A slimming club is a good option for people who lack motivation to
lose weight on their own.","Clb Giảm cân là một lựa chọn tốt cho những người thiếu động lực tự
giảm cân.",phrase,IELTS
low in fat and high in fiber,,ít chất béo và giàu chất xơ,"a diet which does not contain much fat, but which contains foods
which have a lot of fiber",A healthy vegetarian diet is typically low in fat and high in fiber.,Một chế độ ăn chay lành mạnh điển hình là ít chất béo và giàu chất xơ.,phrase,IELTS
