word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to stick in your mind,,in đậm trong tâm trí,"(of a memory, an image, etc.) to be remembered for a long time","When children learn a foreign language in primary school, words
and phrases tend to stick in their minds almost without the effort of
learning them in a formal way.","Khi trẻ em được học ngoại ngữ ở trường tiểu học, từ và các cụm từ
thường sẽ in đậm trong tâm trí chúng mà không cần phải cố học thuộc.",phrase,IELTS
to sharpen something (up),,"làm cái gì đó thêm sâu sắc, nhạy bén","to become or make something better, more skilful, more
effective, etc. than before","The opportunity to do an internship with a company enables
students to sharpen up the theoretical knowledge gained at college.","Cơ hội thực tập ở một công ty cho phép sinh viên hiểu lý thuyết
được học ở trường sâu sắc hơn.",phrase,IELTS
to write off somebody/something,,xóa bỏ/ loại bỏ cái gì,"to decide that somebody or something is a failure and not worth
paying attention to","Space projects should not be written off as expensive failures,
because space represents the new frontier for exploration.","Các dự án nghiên cứu không gian vũ trụ không nên bị loại bỏ như là
những thất bại gây tốn kém, bởi vì không gian sẽ là một hướng khám phá
mới.",phrase,IELTS
to be engrossed in,,mê mải vào cái gì,to be completely focused on something,"A good work-life balance is important, because if people are too
engrossed in their work their family life may suffer.","Việc cân bằng tốt giữa cuộc sống với công việc là rất quan trọng vì
nếu quá mải mê với công việc, cuộc sống gia đình sẽ bị ảnh hưởng.",phrase,IELTS
to understand somebody/something to be/have something,,tin cái gì đó/ cho là,"to think or believe that something is true because you have been
told that it is","The President is understood to be in favour of more spending
on the military.",Chủ tích nước được cho là sẽ chi nhiều hơn cho quân sự.,phrase,IELTS
conduct somebody/something,,"dẫn dắt, hướng dẫn ai đó",to lead or guide somebody through or around something,"Work experience conducts people who are new in a profession
through some of the practical difficulties which they will face.","Kinh nghiệm làm việc dẫn dắt những người bắt đầu lĩnh vực mới
thông qua một số khó khăn thực tế họ gặp phải.",phrase,IELTS
secure in the knowledge,,"tự tin, chắc chắn",not worried because you are sure that nothing bad will happen,"Students who work hard throughout the year will be confident
when they take exams, secure in the knowledge that they are well-
prepared.",,phrase,IELTS
bedtime stories,,truyện kể trước khi đi ngủ,stories told to children before they sleep,"Parents should spend time with their children, for example by
telling them bedtime stories every night.","Cha mẹ nên dành nhiều thời gian với con cái, ví dụ như kể chuyện
cho con nghe mỗi tối.",phrase,IELTS
to be a story of,,trở thành câu chuyện,to be a history of particular events,"The problem of waste disposal in my country has been a
story of confusion and bad management.","Vấn đề xử lí rác thải của nước tôi là câu chuyện của quản lý yếu
kém.",phrase,IELTS
to run a story,,"viết, kể, thảo một câu chuyện","to print an article, to show a news report","The media nowadays runs many stories on environmental
concerns.","Truyền thông hiện nay đang nói lên nhiều câu chuyện xung quanh
vấn đề môi trường.",phrase,IELTS
a success story,,câu chuyện về sự thành công,a person or thing that is very successful,"Although some people have great talent in their field, behind
every success story there is always a lot of hard work and effort.","Dù nhiều người rất tài năng trong lĩnh vực của họ, nhưng sau mỗi
câu chuyện thành công luôn cần sự nỗ lực và chăm chỉ làm việc.",phrase,IELTS
to tell its own tale/to tell its own story,,"tự thuật, tự nói lên tất cả.","to explain itself, without needing any further comment","Governments have failed to control traffic congestion in cities.
The level of air pollution in all major urban centres tells its own story.","Chính phủ đã thất bại trong việc giải quyết nạn tắc đường ở các
thành phố. Mức độ ô nhiễm không khí ở các khu đô thị đã tự nói lên tất
cả.",phrase,IELTS
to read between the lines,,"hiểu rõ những gì đọc được/ nghe thấy/ biết
đến",to look for a meaning that is not openly stated,"Reading between the lines, the reports of recent international
conferences are not optimistic about achieving agreement on climate
change.","Hiểu rõ những gì đang xảy ra, các báo cáo ở những hội thảo gần
đây không lạc quan lắm về việc đạt được thỏa thuận về thay đổi khí hậu.",phrase,IELTS
to read up on,,tìm kiếm thông tin trong sách,"to find information in a book or other written source about
something.","When deciding which university course to study, it is essential
toread up on the subject before making a final choice.","Khi quyết định khóa học đại học, cần phải tìm kiếm thông tin trong
sách và tài liệu viết về môn học trước khi đi đến quyết định cuối cùng.",phrase,IELTS
to come highly recommended,,được đánh giá cao,to be praised by a lot of people,"Books by classic authors always come highly recommended,
but
work by new and talented writers should not be overlooked.","Sách viết của các tác giả cũ thường được đánh giá cao, nhưng cũng
Không nên bỏ qua những tài năng mới.",phrase,IELTS
literary appreciation,,cảm thụ văn học,"pleasure that you have when your recognize and enjoy the
qualities of a good piece of writing","Children develop literary appreciation if they are encouraged
by parents and teachers to love reading.","Trẻ em phát triển khả năng cảm thụ văn học khi chúng được thầy
cô và cha mẹ khuyến khích đọc sách.",phrase,IELTS
a literary genius,,thiên tài văn học,a person with exceptional and rare talent for writing,"Although a literary genius like Shakespeare is rare, it is
important for governments to subsidise creative writing classes for all
ages.","Dù một thiên tài văn học như Shakespeare là rất hiếm có, nhưng
chính phủ cần phải tài trợ cho những lớp học viết tài năng cho mọi lứa
tuổi.",phrase,IELTS
