word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a breakdown in communication,,ngưng trệ giao tiếp (thất bại/ gián đoạn),"a misunderstanding which results from people failing to discuss
and resolve something","The dispute between the workers and the employer was the
result of a breakdown in communication over wages.","Mâu thuẫn giữa công nhân và ông chủ là do sự thất bại trong giao
tiếp về mức lương.",phrase,IELTS
to live in harmony with one another,,sống hòa hợp với người khác,to live with others in a way which avoids conflict or disagreement,"The students who share the house are all good friends and they
are able to live in harmony with one another.","Sinh viên sống cùng một nhà là những người bạn thân và họ có thể
sống hòa hợp với nhau.",phrase,IELTS
to keep abreast of something,,cập nhật tin tức,to have the most recent information about something,"This new service helps doctors keep abreast of the newest drugs
available.","Dịch vụ mới cho phép bác sĩ cập nhật tin tức về những loại thuốc
mới nhất.",phrase,IELTS
to accelerate the flow of information,,tăng tốc độ thông tin,"to spread information with a higher speed to create faster
response times and more accurate interactions","The new software, Wildtech, is intended to help accelerate the
flowof information among scientists, and forest and wildlife managers.","Phần mềm mới mang tên Wildtech là để giúp tăng tốc độ lan truyền
thông tin giữa những nhà khoa học với người quản lí rừng và khu bảo tồn
hoang dã.",phrase,IELTS
behind the times,,lỗi thời,"refers to a person who is old-fashioned and has not adopted
certain modern customs, beliefs, or behaviors","He was angry when they said that his accounting methods were
behind the times because he did not use computer software.","Anh ta rất tức giận khi họ nói những phương thức kế toán của anh
ta đã lỗi thời vì anh ta không sử dụng phần mềm máy tính.",phrase,IELTS
set in his or her ways,,bảo thủ,"A person who is set in his or her ways is stubborn and
committed to their current way of doing things. They aren't open to
changing, even if the change would be an improvement","As people get older, they often become set in their ways and
are reluctant to try anything new.","Khi lớn tuổi, người ta thường trở nên bảo thủ và rất ngại thay đổi.",phrase,IELTS
a social butterfly,,người giao thiệp rộng,refers to an extroverted person who loves to socialize,"A social butterfly is a person who is socially dynamic,
networking, charismatic, and personally gregarious.","Một người giao thiệp rộng là một người năng động, lôi cuốn và
thích giao du.",phrase,IELTS
a stickler for sth,,"người câu nệ, khắt khe về cái gì","Someone who is a “stickler for something” is a person who
strongly insists on that quality or behavior, and wants or expects other
people to maintain the same standard","The author described himself as a stickler for details, who loves
things done right the first time.","Tác gia đó tự mô tả bản thân là một người câu nệ chi tiết, người
muốn mọi thứ phải hoàn hảo ngay từ lần đầu tiên.",phrase,IELTS
to be user-friendly,,,"to be easy to use, without a need for advanced skills","One feature of modern communications technology is that, in
general, it is user-friendly.
Dịch dại ý
To be user-friendly: thân thiện với người dùng","Một trong những đặc điểm chung của công nghệ giao tiếp hiện đại
là chúng khá thân thiện với người dùng.",phrase,IELTS
social networking sites,,mạng xã hội,"a website on which you communicate with people who share
your interests","Young people today waste too much time on social networking
sites such as Facebook or Twitter","Người trẻ hiện nay thường lãng phí quá nhiều thời gian vào các
trang mạng xã hội như Facebook hay Twitter.",phrase,IELTS
to break off a relationship/to break off negotiations,,cắt đứt đàm phán,to end something suddenly,"The US and China broke off negotiations earlier today on the
new trade agreement.","Mỹ và Trung Quốc đột ngột cắt đứt đàm phán ngày hôm nay về
hiệp định thương mại mới.",phrase,IELTS
to reach a stalemate/to reach deadlock,,"đình trệ, bế tắc",a disagreement in which neither side is able to find a solution,"The talks between the superpowers broke up when both sides
reached deadlock over important issues.","Cuộ nói chuyện giữa các bên đã thất bại khi cả 2 bên đều bế tắc ở
những vấn đề quan trọng.",phrase,IELTS
to have social skills,,kỹ năng xã hội tốt,"to have
the
personal
skills
required
for
successfully
communication and interaction","In all jobs which involve dealing with the public, it is important
tohave good social skills.","Mọi công việc liên quan đến quan hệ quần chúng đều yêu cầu kỹ
năng xã hội tốt.",phrase,IELTS
to have a laid-back attitude,,"thư giãn, thả lỏng, thong thả","relaxed, not worrying about anything","Our teacher had a laid-back attitude in the classroom, but she
was always well-prepared and committed to her students.","Cô giáo chúng tỗi có vẻ rất thong thả trong lớp, nhưng cô ấy luôn
chuẩn bị kĩ và hết mình với học sinh.",phrase,IELTS
to be a workaholic/a shopaholic,,nghiện công việc/ mua sắm,"a person who spends too much time working/too much time
shopping","Although I take my studies seriously, I would not describe myself
as a workaholic, because I have other interests too.","Dù tôi học rất chăm chỉ, tôi không nghĩ mình là người nghiện công
việc vì tôi còn những thú vui khác nữa.",phrase,IELTS
to see the big picture,,nhìn nhận một cách toàn diện,to understand all the important aspects of a situation,"Students sometimes get confused with so many details to
remember, but our history teacher is able to make us see the big picture.","Sinh viên đôi khi gặp khó khăn khi có quá nhiều chi tiết phải nhớ,
nhưng cô giáo lịch sử luôn giúp chúng tôi khái quát được vấn đề.",phrase,IELTS
to be generous/helpful to a fault,,nhiệt tình giúp đỡ,"to be very generous/helpful to others, even when it can cause
problems for oneself","My parents are generous to a fault, and they have helped me a
lot with my education.",Cha mẹ tôi rất nhiệt tình và họ đã giúp tôi rất nhiều trong việc học.,phrase,IELTS
to make small talk/to exchange pleasantries,,nói chuyện xã giao,"to talk in a polite way about unimportant matters such as the
weather","I enjoy a serious discussion and I don't like to make small talk
or exchange pleasantries with others simply in order to be polite.","Tôi thích những cuộc nói chuyện nghiêm túc chứ không thích nói
chuyện xã giao với người khác chỉ vì phép lịch sự.",phrase,IELTS
