word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
e-commerce,,thương mại điện tử,buying and selling products or services using the internet,"Businesses which rely on e-commerce make huge savings on
offices, retail outlets and rents paid to landlords who own high-street
properties.","Những ngành nghề kinh doanh dựa trên thương mại điện tử có thể
tiết kiệm 1 khoản lớn tiền văn phòng, thuê đại lý và khoản trả hàng tháng
cho những chủ cho thuê có mặt tiền tại các con phố lớn.",phrase,IELTS
online shopping,,mua sắm trực tiếp,shopping while connected to the internet,"For people who are physically disabled, or even for people who
are simply very busy, online shopping is convenient and may also be
cheaper.","Mua sắm trực tuyến thuận tiện và có thể rẻ hơn cho những người
khuyết tật và cả những người bận rộn.",phrase,IELTS
to go viral,,lan truyền,to become very popular on the internet,"One reason why people sometimes talk about ‘the global village'
is that an image or news on the internet sometimes goes viral and is seen
by millions of people worldwide.","Một lí do khiến mọi người nói về “làng thế giới” là vì đôi khi một
hình hảnh hay tin tức trên mạng lan truyền nhanh chóng và được xem bởi
hàng triệu người khắp thế giới.",phrase,IELTS
computer hackers,,những kẻ tấn công máy tính,"people who find a way of looking at or changing information
secretly on somebody's computer system","One disadvantage of computers is that computer hackers may
be able to discover your personal details, such as bank account
information.","Một bất lợi của máy tính là những kẻ tấ ncông có thể khám phá
thông tin cá nhân của bạn, ví dụ như tài khoản ngân hàng.",phrase,IELTS
online scams,,các âm mưu trên mạng internet/ thủ đoạn trực tuyến,"clever and dishonest plans using the internet in order to make
money.","Many internet users have been victims of online scams, paying
money for goods or services that do not exist or are worthless.","Nhiều người sử dụng mạng internet là nạn nhân của những thủ
đoạn trực tuyến, trả tiền cho hàng hóa và dịch vụ không có thật hoặc
không đáng giá.",phrase,IELTS
to microwave something,,đun nấu bằng lò vi sóng,to cook or heat food very quickly in a microwave oven,"The food industry was quick to adapt to the demands of
customers who wanted to microwave ready meals after coming home
from work.","Công nghiệp thực phẩm nhanh chóng đuổi kịp nhu cầu của khách
hàng, những người muốn đun nóng các bữa ăn có sẵn bằng lò vi sóng sau
khi đi làm về.",phrase,IELTS
a smart card,,thẻ thông minh,"a small plastic card used to make payments and to store
information, which can be read when connected to a computer system.","People rarely need to visit a bank these days, and it is easy and
convenient to make purchases using your smart card.","Ngày nay ít khi mọi người cần tới ngân hàng vì hiện nay mua hàng
sử dụng thẻ thông minh rất dễ dàng và thuận tiện.",phrase,IELTS
supermarket checkouts,,quầy thu ngân tại siêu thị,the place where you go to pay for the things that you have bought,"Personal service in shops has been replaced by the impersonal
experience of superstore shopping and queues at supermarket
checkouts.","Dịch vụ cá nhân tại các cửa hàng đã được thay thế bằng những trải
nghiệm tại các cửa hàng mua sắm lớn và xếp hàng tại quầy thu ngân của
siêu thị.",phrase,IELTS
driverless vehicles,,phương tiện không người lái,"cars, buses and other vehicles that have the technology to drive
themselves, without a person in control","The first driverless vehicles have already been invented and will
soon be seen on the roads.","Những phương tiện không người lái đầu tiên đã được phát minh và
sẽ sớm được lưu thông trên đường.",phrase,IELTS
text-messaging,,gửi tin nhắn văn bản,the act of sending written messages using a mobile/cell phone,"The ability to write using accurate grammar is declining, partly as
a result of text-messaging instead of writing letters.","Khả năng viết đúng ngữ pháp đang bị suy giảm, một phần do viết
tin nhắn văn bản thay vì viết thư tay.",phrase,IELTS
robotics technology,,công nghệ rô bốt,"the design, construction and operation of robots","There are examples of robotics technology everywhere, from
space programs to manufacturing.","Có những ví dụ về công nghệ rô bốt ở mọi nơi, từ các chương trình
vũ trụ tới việc sản xuất thông thường.
28.to be in its infancy
Meaning: to be in the early development of something
Example: It is clear that robotics technology is still in its infancy, and it is
impossible to imagine the possible future developments.
Dịch đại ý
To be in its infancy: thời kì thai nén
Nghĩa: ở giai đoạn phát triển rất sớm của cái gì đó
Ví dụ: Rõ ràng là công nghệ rô bốt vẫn đang trong thời kì thai nén, và
không thể tưởgn tượng những phát triển trong tương lai ra sao.",phrase,IELTS
to be superseded by,,bị thế chỗ bởi,to be replaced by something which is better,"The latest technological innovations are usually soon
superseded by new and more advanced devices.","Những đổi mới công nghệ mới nhất thường nhanh chóng bị thay
thế bởi những thiết bị mới và tiến bộ hơn.",phrase,IELTS
to become over-reliant on,,quá phụ thuộc vào,"to need something so that your survival or success depends too
much on it","Businesses have become over-reliant on complicated computer
systems, so that if these systems fail the results will be disastrous.","Các nhà kinh doanh đã quá phụ thuộc vào hệ thông máy tính phức
tạp, nên nếu hệ thống này thất bại, kết quả sẽ rất tồi tệ.",phrase,IELTS
