word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
todeport somebody,,trục xuất ai đó,"to force somebody to leave a country, usually because they have
broken the law or because they have no legal right to be there","The government refused to grant them refugee status and
deported them.","Chính phủ từ chối cho họ quyền tị nạn và trục xuất họ ra khỏi đất
nước.",phrase,IELTS
to be prejudiced (against/in favour of somebody/something),,"có định kiến
(chống lại/ ủng hộ một người/một việc nào đó)","having an unreasonable dislike of or preference for
somebody/something, especially based on their race, religion, sex, age etc.","Some companies are prejudiced against older applicants during
the interview process.","Một vài công ty có định kiến với những ứng viên cao tuổi trong quá
trình phỏng vấn",phrase,IELTS
to integrate into society,,hòa nhập vào xã hội,"to become accepted as a member of a social group, especially
when a person comes from a different culture","Children from minority groups often find it easy to integrate
into society because they attend schools which are multicultural.","Trẻ em thuộc các dân tộc thiểu số thường xuyên thấy dễ hòa nhập
với xã hội bởi chúng học tại các trường đa văn hóa.",phrase,IELTS
to be socially acceptable,,được xã hội chấp nhận,agreed or approved of by most people in a society,"Smoking in public places is no longer socially acceptable in
many countries.","Hút thuốc ở những nơi công cộng đã không còn được xã hội chấp
thuận ở rất nhiều quốc gia.",phrase,IELTS
to develop social skills,,phát triển các kỹ năng xã hội,"to become better at communicating and interacting in different
situations","Playing team sports at school helps children to develop social
skills which will help them in adult life.","Chơi các môn thể thao nhóm ở trường giúp trẻ em phát triển các kỹ
năng xã hội phục vụ cuộc sống của chúng khi trưởng thành.",phrase,IELTS
to be poverty-stricken,,có hoàn cảnh kinh tế đặc biệt khó khăn,"to be extremely poor, having almost no money","Many non-government organisations work with people who are
poverty-stricken in developing countries.","Rất nhiều các tổ chức phi chính phủ làm việc với những người có
hoàn cảnh kinh tế đặc biệt khó khăn ở các quốc gia phát triển.",phrase,IELTS
economic migrants,,di dân kinh tế,"people who move from their own countries to a new country in
order to find work or to have a better standard of living","As a result of global inequalities of wealth, many economic
migrants have fled to developed countries.","Do sự phân hóa giàu nghèo trên thế giới, nhiều người di dân kinh tế
đã di cư sang các quốc gia phát triển",phrase,IELTS
the consumer society,,xã hội tiêu thụ,"a society in which buying and selling are considered extremely
important","Money and possessions are considered to be more important
than family and friends in today's consumer society.","Tiền bạc và sự sở hữu được coi là quan trọng hơn gia đình và bè bạn
trong xã hội tiêu thụ hiện nay.",phrase,IELTS
an egalitarian society,,xã hội bình đẳng,"a society in which everyone has the same rights and
opportunities","I believe that crime would be reduced if we lived in a more
egalitarian society.","Tôi tin rằng tệ nạn sẽ giảm đi nếu chúng ta sống trong một xã hội
bình đẳng hơn",phrase,IELTS
social mobility,,sự dịch chuyển xã hội,the movement of individuals from one class in society to another,"Free access to education has resulted in greater social mobility
in modern society","Sự tiếp cận giáo dục dễ dàng hơn đã tạo ra sự dịch chuyển tầng lớp
lớn trong xã hội hiện đại ngày nay.",phrase,IELTS
the migration of labour,,sự dịch chuyển lao động,the movement of workers from one place to another,"The migration of labour from the countryside to the cities is a
feature of modern society.","Việc các lao động ở các tỉnh đổ về các thành phố là một đặc tính của
xã hội hiện đại",phrase,IELTS
sweated labour,,lao động chân tay,"hard work that is done for low wages in poor conditions; the
people who do this work","Conditions of sweated labour still exist in many developing
countries.","Các công việc chân tay vẫn còn tồn tại ở rất nhiều quốc gia đang
phát triển",phrase,IELTS
socio-economic changes,,các thay đổi về xã hội kinh tế,changes relating to the society and economy of a country,"Mass migration to cities is a result of socio-economic changes
that include the industrialisation of agriculture.","Luồng di dân lớn về các thành phố là hệ quả của các thay đổi kinh tế
xã hội bao gồm cả việc hiện đại hóa nông nghiệp",phrase,IELTS
thegrass roots,,tầng lớp thấp,"ordinary people in society or in an organization, rather than the
leaders or people who make decisions","In order to bring about changes in communities, local people
must be involved at the grass rootslevel in making and implementing
decisions.","Để có thể tạo ra những thay đổi trong cộng đồng, người dân địa
phương phải tham gia vào việc tạo ra và thực hiện các quyết định từ tầng
lớp thấp nhất",phrase,IELTS
industrial action,,đình công,"action that workers take, especially stopping work, to protest to
their employers about something","The right to take industrial action is one way in which workers
are able to protect their living standards.","Quyền được tổ chức đình công là một cách mà các công nhân có
thể thực hiện để bảo vệ các tiêu chuẩn sống của mình.
29.asit-in
Meaning: a protest in which a group of workers, students, etc. refuse to
leave their factory, college, etc. until people listen to their demands
Example: the factory workers decided to hold a sit-in.
Dịch đại ý
A sit-in: cuộc biểu tình ngồi
Nghĩa: cách phản đối của một nhóm công nhân, sinh viên, vv bằng việc từ
chối rời nhà máy, trường đại học, vv cho đến khi mọi người lắng nghe
những yêu cầu của họ
Ví dụ: Các công nhân trong nhà máy quyết định tổ chức một cuộc biểu
tình ngồi.",phrase,IELTS
anoutcry (at/over/against something),,"sự phản đối kịch liệt, sự la ó",a reaction of anger or strong protest shown by people in public,The new tax provoked a public outcry.,Thuế mới đã tạo lên làn sóng phản đối trong cộng đồng,phrase,IELTS
