word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a mixed funding model for the arts,,mô hình quỹ nghệ thuật hỗn hợp,"a model in which some money to support the arts is given by the
government and some money is provided by private individuals or
commercial organizations.","I would argue that a mixed funding model for the arts is the best
way to support artists, musicians and writers by combining public and provide
funds and even donations.","Tôi cho rằng mô hình quỹ nghệ thuật hỗn hợp là cách tốt nhất để hỗ
trợ các nghệ sĩ, nhạc sĩ và nhạc văn bằng cách kết hợp những quỹ chung và
quỹ tư, thậm chí là quyên góp.",phrase,IELTS
the imposition of censorship,,kiểm duyệt bắt buộc,"the act of preventing something from being available to the public,
because it is considered offensive or a political threat","I believe that the imposition of censorship is sometimes necessary
to protect young people from exposure to pornographic writing or images.","Tôi tin rằng kiểm duyệt bắt buộc có những lúc là cần thiết để bảo vệ
thanh thiếu niên khỏi những hình ảnh đồi trụy.",phrase,IELTS
to stage a play,,trình diễn 1 vở kịch,to organize and present a play for people to see,"It is important to encourage children to be creative, for example by
staging a school play or displaying their artwork on school open days.","Khuyến khích trẻ em sáng tạo là rất quan trọng, ví dụ như trình diễn 1
vở kịch hay trình bày những tác phẩm của chúng trong ngày hội của trường.",phrase,IELTS
a talented playwright,,nhà biên kịch tài năng,a person who writes plays for the theatre,"Directors of theatres must encourage talented playwrights by
staging their plays for theatre-goers.","Những ông chủ nhà hát cần khuyến khích các nhà soạn kịch tài năng
bằng cách trình diễn vở kịch của họ cho khán giả tới xem.",phrase,IELTS
to appeal to audiences,,hấp dẫn khán giả,to attract or interest those who go to watch a play or film.,"Plays which deal with contemporary social issues are likely to appeal
to audiences.","Những vở kịch nói về các vấn đề đương thời thường hấp dẫn người
xem.",phrase,IELTS
a literature festival/a book festival,,lễ hội văn học/ lễ hội sách,"A regular gathering of writers and readers in a particular city,
perhaps every year.","One way in which to attract tourists to a city is to stage an annual
literature festival, and invite well-known writers to attend.","Một cách thu hút khách du lịch tới thành phố là tổ chức lễ hội văn học
hàng năm, và mời những nhà văn tên tuổi tới tham dự.",phrase,IELTS
literary and artistic heritage,,di sản văn hóa nghệ thuật,"the traditon of writing or painting that a country, city or town has
had for many years, distinguishing it as an important part of its character","Visitors to Britain can enjoy the rich literary and artistic heritage by
going to such places as the birthplace of Shakespeare and the National Art
Gallery in London.",,phrase,IELTS
to express oneself,,thể hiện bản thân,"to communicate some idea or emotion through speech, writing,
painting, music or some other form of art","Schools should encourage pupils to express themselves through
art, music or creative writing in order to stimulate their imagination.","Trường học nên khuyến khích học sinh thể hiện bản thân qua hội họa,
âm nhạc hay sáng tác văn học để kích thích trí tưởng tượng của chúng.",phrase,IELTS
works of literary fiction,,tác phẩm văn học giả tưởng,"types of literature which describe imaginary people and events, not
real ones","It takes enormous creativity to write works of literary fiction, and
the greatest writers are rightly considered literary geniuses.","Phải sáng tạo rất nhiều mới có thể viết được những tác phẩm văn học
giả tưởng, và những tác giả vĩ đại thường được coi là những thiên tài văn học
thực thụ.",phrase,IELTS
a literary genius,,thiên tài văn học,a person with outstanding ability in writing,"Although not every child will become a literary genius, it is still
important for students to practice creative writing at school.","Dù không phải đứa trẻ nào cũng sẽ là thiên tài văn học, nhưng việc cho
học sinh sáng tác văn học ở trường vẫn là rất quan trọng.",phrase,IELTS
street musicians,,nghệ sĩ đường phố,"people who play a musical instrument in the street to get money
from passers-by","Street musicians are an entertaining feature of cultural life in many
cities.",Nghệ sĩ đường phố là một nét đặc trưng văn hóa ở nhiều thành phố.,phrase,IELTS
genres of music,,thể loại âm nhạc,particular types or styles of music,"Different genres of music tend to be favoured by different age
groups, with classical music more popular among the elderly.","Những thể loại âm nhạc khác nhau được yêu thích bởi những lứa tuổi
khác nhau, như là nhạc cố điển thì được người cao tuổi ưa thích hơn.",phrase,IELTS
to take up a musical instrument,,học chơi một nhạc cụ,to start to learn to play a musical instrument,"Schools should encourage all those children who have an interest to
take up a musical instrument.","Trường học nên khuyến khích những học sinh mà có hứng thú chơi
nhạc cụ.",phrase,IELTS
live music,,nhạc sống,"music that is not recorded – it is performed at the same time as
people listen to it","Without funding from governments, it is doubtful whether live
music would survive.","Không có hỗ trợ của nhà nước, không rõ nhạc sống có thể tiếp tục tồn
tại được hay không.",phrase,IELTS
a concert venue,,nhà hát,"a place where people go to listen to live music at an organized
event","Cities offer many cultural attractions for music-lovers, such as the
Paris Opera.",,phrase,IELTS
a resident orchestra,,một dàn giao hưởng,"a large group of people who play musical instruments together in
the same venue.","In most cities, a resident orchestra must receive a subsidy from the
local authority in order to survive financially.",,phrase,IELTS
an opera house,,nhà hát,"a dedicated building such as a theatre or other venue, in which the
performers sing while the orchestra plays the music","The financial costs of running an opera house are very high, and so
ticket prices to see an opera are expensive.","Chi phí tài chính để duy trì một nhà hát là rất cao, nên giá nghe nhạc
giao hưởng là rất đắt.",phrase,IELTS
folk songs,,nhạc cổ truyền/ dân tộc,songs in the traditional style of a country or community,"Traditional folk songs are part of the cultural heritage of a nation or
region.","những bài hát dân tộc cổ truyền là một phần di sản văn hóa của một
quốc gia hay một vùng miền.",phrase,IELTS
popular music,,nhạc hiện đại,"music of the type which is listened to by a large number of people,
with a strong rhythm and simple tunes.","It would be a pity if young people only listened to popular/pop
music and had no knowledge of traditional folk songs.","Sẽ rất đáng tiếc nếu người trẻ chỉ nghe nhạc hiện đại mà không biết gì
về nhạc dân gian cổ truyền.",phrase,IELTS
to sing in a choir,,hát đồng ca,"to sing in a group of people, for example in a church or public
performance","One way that schools can encourage children to enjoy music is to
give them an opportunity to sing in a school choir.","Một phương pháp để nhà trường khuyến khích trẻ thưởng thức âm
nhạc là cho chúng cơ hội được hát đồng ca.",phrase,IELTS
