word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
a single parent household,,gia đình đơn thân,"a family in which one person takes care of their child or children
without a husband, wife or partner","As a result of changes in society, single parent households are
no longer considered unusual.","Như là kết quả của những thay đổi trong xã hội, những gia đình
đơn thân hiện nay không còn bị coi là bất bình thường nữa.",phrase,IELTS
working mothers,,các bà mẹ đi làm,"women who have a job and also have to take care of their
children","As more and more women have entered the workforce, working
mothers have to balance the demands of home and work.","Khi ngày càng nhiều phụ nữ tham gia vào lực lượng lao động, các bà
mẹ đi làm phải cân bằng giữa những yêu cầu của công việc và gia đình.",phrase,IELTS
child-minding,,trông trẻ,"caring informally (not in schools) for children when parents are
busy or working","Working mothers with very young children face the problem of
organising child-minding while they are away from home.","Các bà mẹ đi làm mà có con nhỏ cần phải sắp xếp việc trông trẻ khi
họ không có nhà.",phrase,IELTS
to enter adult life,,bước vào thế giới người lớn,"the stage when adolescents are almost old enough to be legally
independent of their parents","Parents who have devoted time and thought to raising and
educating their children have given them a good prepartion to enter
adult life.","Những cha mẹ dành nhiều thời gian và suy nghĩ để nuôi dạy con cái
đã chuẩn bị cho họ thật tốt để bước vào thế giới người lớn.",phrase,IELTS
generation gap,,khoảng cách thế hệ,"the experience of not understanding your parents or
grandparents and them not understanding you due to being raised during
different time periods, in a different cultural setting","They were able to bridge the generation gap by watching old
and new movies together and discussing them.”","Họ đã tìm được cách kết nối khoảng cách thế hệ bằng việc xem
những bộ phim mới và cũ và cùng nhau thảo luận.",phrase,IELTS
shapers of a nation's tomorrow,,Những người làm chủ tương lai đất nước,refers to young generations who decide a nation's future,"Celebrating children's month reminds us about the importance of
children being the creators and shapers of a nation's tomorrow.","Mừng ngày đầy tháng của trẻ nhắc nhở ta về sự quan trọng của trẻ
em, những người làm chủ tương lai đất nước.",phrase,IELTS
an extended family,,gia đình được mở rộng,"a family group with many members, including parents, children,
grandparents, aunts and uncles, cousins etc","In the past, the extended family was a form of support when
any members were ill or suffered some misfortune.","Trước đây, gia đình mở rộng là một cách hỗ trợ lẫn nhau khi thành
viên nào bị bệnh hay không may gặp vấn đề.",phrase,IELTS
a nuclear family,,gia đình cơ bản,"a family consisting of a father, mother and their children","The nuclear family has replaced the extended family as the most
common form of family structure throughout the world.","Gia đình cơ bản đã thay thế những gia đình lớn, trở thành dạng gia
đình phổ biến nhất trên thế giới.",phrase,IELTS
negative influences on individual families,,"ảnh hưởng tiêu cực tới từng gia
đình","negative meaning bad; influences meaning effects; on individual
families refers to each nuclear family - a couple and their children, rather
than families in general;","Based on the research, the negative influences on individual
families could be lessened with more support from the government.”","Theo nghiên cứu, ảnh hưởng tiêu cực tới những gia đình cơ bản sẽ
được giảm bớt nếu có nhiều hỗ trợ hơn từ chính phủ.",phrase,IELTS
parental involvement,,sự can thiệp/ tham gia của cha mẹ,"the act or process of parents when taking part in their children's
activities.","Parental involvement allows parents to monitor school and
classroom activities, and to coordinate their efforts with teachers to
encourage acceptable classroom behavior and ensure that the child
completes schoolwork.","Sự tham gia của cha mẹ cho phép phụ huynh theo dõi các hoạt
động tại trường lớp, và cùng nỗ lực hợp tác với giáo viên để khuyến khích
các hoạt động tại lớp cũng như đảm bảo con họ hoàn thành bài tập được
giao.",phrase,IELTS
to dissolve a marriage,,kết thúc hôn nhân,to officially end a marriage,"Couples are sometimes unwilling to dissolve their marriage
and they stay together for the sake of the children.","Đôi khi các cặp vợ chồng không sẵn sàng chấm dứt hôn nhân và họ
lại ở cùng nhau vì lí do con cái.",phrase,IELTS
a dual-income family,,gia đình có 2 thu nhập,a family where both the father and mother work,"Changes in society have resulted in the dual-income family
becoming the most common family type.","Những thay đổi trong xã hội dẫn tới việc gia đình có 2 thu nhập
đang là loại gia đình phổ biến nhất.",phrase,IELTS
to start a family later in life,,có con muộn,"to begin a family later rather than earlier; in the past couples used
to start their families at younger ages, like 22, 23 or 24; nowadays they are
having babies, which is how you start a family, in their late 20s or even 30s
and 40s;","They decided to start a family later in life, preferring to work on
their careers during their 20s and early 30s. They finally had their first baby
when they were both 38 years old.","Họ quyết định có đứa con đầu tiên khá muộn để ưu tiên cho công
việc khi họ ở tuổi 20, 30. Cuối cùng họ có đứa con đầu tiên khi cả hai ở
tuổi 38.",phrase,IELTS
to support a family,,nuôi sống gia đình,to have enough money to be able to look after a family,"Young people often delay marriage because they do not earn
enough money to support a family.","Những người trẻ hiện nay trì hoãn không kết hôn vì họ không kiếm
đủ tiền để nuôi gia đình.",phrase,IELTS
to be overprotective,,bảo vệ quá mức,"to be too worried about the safety of someone, especially a child","If parents are overprotective of their children, there is a danger
that the children will become too dependent on their parents.","Nếu cha mẹ bảo vệ con cái quá mức, con cái sẽ trở nên quá phụ
thuộc vào cha mẹ mình.",phrase,IELTS
To bring up their offspring,,nuôi dạy con cái,"to bring up means to raise; this is what you do as a parent with
your children; you educate them, nurture them, etc.; offspring refers to
your children;",They are bringing up their offspring in a very strict household,Họ nuôi dạy con cái theo cách rất nghiêm khắc.,phrase,IELTS
embarking on parenthood,,bắt đầu làm cha mẹ,"to embark on something means to start something; in this case it
means to become a parent; parenthood is what you call the role of being a
parent; you are always a parent once you have children, but this refers to
the time you spend raising them; childhood is they time period when you
were a child;","They will be embarking on parenthood this summer, when their
new baby is born.”","Họ bắt đầu làm cha mẹ vào hè này, khi đứa con của họ mới sinh.",phrase,IELTS
a family gathering,,tập trung gia đình,a meeting of family members for a particular purpose,"In traditional societies, family gatherings are common to
celebrate special occasions.","Trong xã hội trước đấy, những buổi tập trung gia đình thường là để
chào mừng các dịp đặc biệt.",phrase,IELTS
