word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
To buy at auction,,mua hàng đấu giá,"to buy something at a usually public sale of goods or property,
where people make higher and higher bids (= offers of money) for each thing,
until the thing is sold to the person who will pay most","Buying a property at an auction can be a nerve-wracking or
exhilerating experience.","Mua bất động sản đấu giá có thể rất hại não hoặc có thể là một trải
nghiệm đáng giá.",phrase,IELTS
To squander a chance/ savings,,lãng phí cơ hội/ số tiết kiệm,"to waste money or supplies, or to waste opportunities by not using
them to your advantage","James squandered all his savings in an unsuccessful business
venture to sell ice cream in Alaska.","James đã lãng phí tất cả tiền tiết kiệm vào vụ kinh doanh mạo hiểm
không thanh công khi bán kem ở Alaska.",phrase,IELTS
Overhead cost,,chi phí cố định,"refers to regular costs required to run a business, such as rent,
electricity, wages etc","An increase in rents in the shopping mall increased the overhead
costs of all the shops which operated there.","Việc tăng tiền thuê mặt bằng ở trung tâm thương mại đã làm tăng chi
phí cố định của tất cả các cửa hàng kinh doanh ở đây.",phrase,IELTS
A takeover,,mua lại/ tiếp quản,an act of taking over a company by buying its shares,"Sony made a successful takeover of the broadcasting company
CBS.",Sony đã tiếp quản thành công đài truyền hình CBS.,phrase,IELTS
A merger,,sự sáp nhập,the action of joining two or more businesses into one,"The directors of Kentucky Fried Chicken and Burger King are
considering a merger of the two companies.","Các nhà quản lí của Gà rán Kentucky và Burger King đang xem xét việc
sáp nhập 2 công ty thành 1.",phrase,IELTS
A heavy workload,,khối lượng công việc lớn,having many tasks to perform,"Many employees of the company take time off work because of
illness and stress due to the heavy workload.","Rất nhiều nhân viên của công ty đã xin nghỉ do ốm đau và áp lực tới từ
khối lượng công việc quá lớn.",phrase,IELTS
Compensation,,tiền đền bù,"something that somebody gives you [usually money] because they
have hurt you or damaged something that you own","I received a large sum of money as compensation for the injury
which I sustained at work.","Tôi đã nhận được một khoảng lớn tiền đền bù cho chấn thương tôi gặp
phải khi đang làm việc.",phrase,IELTS
Revenue,,Lợi nhuận,"the money that a government receives from taxes or which a
company receives from its business","The tax revenues of the government have fallen as a result of the
economic crisis.",Khoản thu từ thuế của chính phủ giảm xuống do khủng hoảng kinh tế.,phrase,IELTS
White-collar,,nhân viên văn phòng/ dân công sở,"working in an office, not a factory","The insurance company is offering some white-collar jobs if you
want to apply.","Công ty bảo hiểm đang tuyển dụng một số vị trí văn phòng nếu như
bạn muốn đăng ký.",phrase,IELTS
Blue-collar,,công nhân,connected with people who do physical work in industry,He's a blue-collar worker in a car factory.,Anh ấy là một công nhân trong nhà máy sản xuất ô tô.,phrase,IELTS
To run your own business,,tự làm chủ/ kinh doanh,to have a business which you own,"I was tired of working for other people, so I decided to run my own
business.","Tôi đã quá chán phải làm việc cho người khác nên tôi quyết định tự
kinh doanh.",phrase,IELTS
To earn a living,,kiếm sống,to earn money,"I used to earn a living as a teacher, but now I sell used cars.","Tôi từng kiếm sống bằng nghề giáo viên, nhưng giờ thì tôi đi bán ô tô
cũ, đã qua sử dụng.",phrase,IELTS
Enhance their public image,,nâng cao hình ảnh,to make their company appear more attractive to people,"In order to enhance their public image, some companies donate
large sums of money to charities.","Để nâng cao hình ảnh của mình với công chúng, một số công ty đã
quyên góp một số tiền rất lớn cho việc từ thiện.",phrase,IELTS
To grow a business,,mở rộng kinh doanh,"to expand a business, usually a new one","The company started one year ago with only one shop, but they
have grown the business and now have ten shops.","Công ty đó đã bắt đầu kinh doanh một năm trước chỉ với một cửa hang,
nhưng họ đã nhanh chóng mở rộng kinh doanh và giờ có 9 cửa hang.",phrase,IELTS
To gain a competitive edge,,có được lợi thế cạnh tranh,"to achieve an advantage over another company or organization,
often by providing the same goods or services at a lower price","The high quality of VW cars, combined with their affordable price,
has enabled the company to gain a competitiveedge over all its rivals in
world markets.","Chất lượng cao của những chiếc ô tô Volks Swagen, cùng với giá cả hợp
lý đã khiến công ty có lợi thế cạnh tranh hơn tất cả đối thủ trên thị trường thế
giới.",phrase,IELTS
Maximize profits,,tối đa hóa lợi nhuận,to increase profits to the highest possible level,"The company has hired a marketing consultant to recommend how
to maximize profits next year.","Công ty đã thuê 1 tư vấn marketing tới để tư vấn làm thế nào để tối đa
hóa lợi nhuận kỳ sau.",phrase,IELTS
To conduct a business,,xây dựng việc kinh doanh,to operate a business in a particular way,"It is important to conduct a business with honesty in order to gain
the confidence of customers.","Việc kinh doanh với sự chân thành là rất quan trọng để có được sự tin
cậy của người tiêu dung.",phrase,IELTS
To be made redundant,,bị sa thải,to lose one's job,"The car factory has closed and 1000 employees have been made
redundant.",Nhà máy sản xuất ô tô bị đóng cửa và 1000 nhân viên bị mất việc.,phrase,IELTS
Pension scheme,,Chế độ lương hưu.,"a system in which you and your employer pay money regularly into
a fund, to use when you retire from work","One of the benefits of working for a big corporation is that such
large companies usually provide a good pension scheme.","Một trong những lợi ích của việc làm cho công ty liên doanh lớn là
những công ty lớn thường có chế độ lương hưu rất tốt.",phrase,IELTS
