word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
primary health care,,chăm sóc sức khỏe cơ bản,"the medical treatment that you receive first when you are sick or
ill, for example from your doctor or local clinic.","Developing countries must allocate resources to establish
primary health care clinics in rural areas and overcrowded city districts.","Những quốc gia đang phát triển cần phân bổ nguồn lực để thành
lập những phòng khám tư chăm sóc sức khỏe cơ bản tại khu đô thị và
những thành phố quá đông dân cư.",phrase,IELTS
medical practitioner,,người hành nghề y,a person who works as a doctor or surgeon,"It is essential to train more medical practitioners if public health
is to be improved.","Cần phải đào tạo nhiều những người hành nghề y để sức khỏe cộng
đồng có thể được cải thiện.",phrase,IELTS
to build up one's immune system/ immunity,,tăng cường hệ miễn dịch,to increase the ability of your body to fight diseases,"A healthy lifestyle and a diet rich in vitamins is a sure way to
build up one's immune system.","Một lối sống lành mạnh và chế độ ăn giàu vitamin chắc chắn sẽ là
cách tốt để tăng cường hệ miễn dịch.",phrase,IELTS
mental health problems,,các vấn đề thần kinh,related to illnesses of one's mind,"Overwork may sometimes result in mental health problems,
such as anxiety and depression.","Làm việc quá tải đôi khi dẫn đến các vấn đề về thần kinh, như là lo
lắng và khủng hoảng.",phrase,IELTS
to offer emotional support,,đưa ra hỗ trợ tinh thần,"to give counselling to a person who is suffering from a mental
health problem","Some schools in Europe now offer emotional support to pupils
who are the victims of bullying.","Một số trường học ở Châu Âu hiện đưa ra các hỗ trợ về mặt tinh
thần cho những học sinh là nạn nhân bị bắt nạt.",phrase,IELTS
to be addicted to sth,,nghiện cái gì,"to be unable to stop taking harmful drugs, tobacco or alcohol.","More specialist clinics, offering treatment and advice, are
required to help people who are addicted to drugs.","Ngày càng có nhiều những phòng khám tư đa khoa cung cấp việc
chữa trị và lời khuyên cho những người nghiện ngập.",phrase,IELTS
to search for a cure,,tìm phương pháp chữa trị,"the process of looking for a way to make a sick person healthy
again","It is the responsibility of governments to enable doctors to
search for a cure for diseases by providing adequate funding.","Trách nhiệm của chính phủ là phải cho phép các bác sĩ tìm kiếm
phương pháp chữa bệnh bằng cách cung cấp kinh phí cần thiết.",phrase,IELTS
life-threatening conditions,,đe dọa tính mạng,illnesses which are likely to kill somebody,"Great advances have been made in the treatment of life-
threatening conditions such as cancer and heart disease.","Đã có những bước tiến lớn trong việc điều trị những căn bệnh đe
dọa tính mạng con người như ung thư và bệnh tim.",phrase,IELTS
to carry health risks,,mang hiểm họa tới sức khỏe,to have effects which could be bad for one's health,"Smoking and drinking alchohol are potentially dangerous habits,
because they carry serious health risks.","Hút thuốc và uống rượu là những thói quen tiềm ẩn nguy hiểm vì
chúng mang hiểm họa tới sức khỏe.",phrase,IELTS
prescription charges,,tiền thuốc,"the money paid by a patient to receive medicines authorised by
a doctor.","In Britain, the government has abolished prescription charges
for elderly people, so that they no longer pay for the medicines they need.","Tại Anh, chính phủ tài trợ tiền thuốc kê đơn cho người già, nên họ
không phải trả tiền thuốc nữa.",phrase,IELTS
operating theatre,,phòng mổ,a room in a hospital where doctors carry out surgery on patients,"Safe hygiene standards are important throughout any hospital,
but particularly in an operating theatre.","Các tiêu chuẩn vệ sinh an toàn là rất quan trọng trong bệnh viên của
tôi, đặc biệt là trong phòng mổ.",phrase,IELTS
the pharmaceutical industry,,ngành công nghiệp dược phẩm,an industry which makes drugs and medicines,"I believe that the pharmaceutical industry must be strictly
regulated by governments, especially in the testing of new drugs.","Tôi tin rằng ngành công nghiệp dược phẩm sẽ bị quản lý chặt chẽ
bởi nhà nước, nhất là trong việc thử nghiệm thuốc mới.",phrase,IELTS
a degenerative illness,,"bệnh suy biến
Nghĩa; căn bệnh có chuyển biến xấu hơn theo thời gian",an illness that becomes worse as time passes,"Breakthroughs in medical science are providing more effective
treatment for degenerative illnesses such as Alzheimer's disease.","Đột phá trong ngành khoa học dược phẩm là cung cấp nhiều
phương pháp điều trị hiệu quả cho căn bệnh suy biến, ví dụ như
Alzheimer.",phrase,IELTS
to be detrimental to health,,có hại cho sức khỏe,to be harmful to health,"Lying in the sun for too long can be detrimental to health and
result in skin cancers.","Nằm dưới ánh mặt trời quá lâu có thể có hại cho sức khỏe và dẫn tới
ung thư da.",phrase,IELTS
to have a regular check-up,,khám bệnh thường xuyên,to have a regular examination carried out by a doctor or dentist,"In order to identify health problems at an early stage, people
should have a regular check-up so that preventive measures can be taken
if necessary.","Để xác định các vấn đề sức khỏe ở giai đoạn đầu, mọi người nên đi khám bệnh
thường xuyên để có thể có các biện pháp ngăn chặn nếu cần thiết.",phrase,IELTS
