word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
To have no career ambitions,,không có tham vọng trong sự nghiệp,"to have no desire to be successful or to move up the career
ladder","Those who are content to do the same job and have no career
ambitions are often happier in their work and do not suffer from stress.","Những người hài lòng khi làm cùng một công việc và không có
tham vọng trong sự nghiệp thường hạnh phúc hơn với công việc của họ
và không phải chịu áp lực nào.",phrase,IELTS
Job satisfaction,,sự hài lòng trong công việc,"the good feeling that you get when you have a job that you
enjoy","A high salary is not necessarily the most important factor in job
satisfaction.","Mức lương cao không phải yếu tố quan trọng nhất về sự hài lòng
trong công việc.",phrase,IELTS
Working environment,,môi trường làm việc,the conditions that you work in,"If work is to be enjoyable, then a friendly working environment
is essential.","Nếu muốn hưởng thụ công việc, thì một môi trường làm việc thân
thiện là rất cần thiết.",phrase,IELTS
Supportive work colleagues,,đồng nghiệp nhiệt tình hỗ trợ,"people that you work with who give you help and
encouragement","A very important aspect of job satisfaction is having supportive
work colleagues.","Một khía cạnh quan trọng của sự hài lòng trong công việc là có
những đồng nghiệp nhiệt tình hỗ trợ.",phrase,IELTS
To be a good team player,,làm việc nhóm tốt,to be cooperative and work well as a member of a team,"In the modern working environment, it is important to be a
good team player and communicate with colleagues.",,phrase,IELTS
A heavy workload,,khối lượng công việc lớn,a lot of work that an individual employee has to perform,"While some people enjoy the challenge of a heavy workload,
others find too much work very stressful.","Trong khi một số người rất thích bị thách thức với khối lượng công
việc lớn, những người khác lại thấy như thế rất áp lực.",phrase,IELTS
Labour-intensive,,cần nhiều lao động,(of work) needing a lot of people to do it,"New technology has replaced the need for workers to do many
labour-intensive jobs, such as producing cars.","Công nghệ mới đã thay thế nhu cầu về lao động để làm những công
việc cần nhiều nhân công, như sản xuất ô tô.",phrase,IELTS
An internship,,kỳ thực tập,"a period of time in which a student or new graduate gets
practical experience in a job","In order to gain essential professional experience, graduates
should do an internship if they have the opportunity.","Để có được kinh nghiệm làm việc cần thiết, những người mới tốt
nghiệp cần thực tập khi có thời gian.",phrase,IELTS
A desk job,,công việc văn phòng,"a job in an office, where you sit and work all day at a table or
desk","Many young people enjoy the excitement of a dangerous
profession to the boring routine of a desk job.","Nhiều người thích những việc nguy hiểm, hào hứng hơn là việc văn
phòng nhàm chán.",phrase,IELTS
To have a steady job,,có công việc ổn định,"to have a job which you are unlikely to lose, but which is usually
the same routine","Although some people prefer to change jobs, others prefer to
have a steady job and a set daily routine at work.","Dù một số người thích thay đổi công việc, những người khác lại
thích công việc ổn định và làm việc hang ngày như nhau hơn.",phrase,IELTS
To dismiss somebody (from something),,sa thải ai đó,to officially remove somebody from their job,"Employment legislation prevents employers from dismissingan
employee without a good reason.",Luật lao động ngăn những ông chủ sa thải nhân viên một cách vô lý.,phrase,IELTS
