word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
the full weight of the law,,sức mạnh của pháp luật,"all the strictest punishments available according to the laws of a
country.","In order to deter crime, the full weight of the law must be
imposed for all serious offences.","Để hạn chế tội phạm, cần áp dụng sức mạnh của pháp luật đối với
tất cả những hành vi vi phạm pháp luật nghiêm trọng.",phrase,IELTS
to impose a ban on sth,,ban hành lệnh cấm với cái gì,"to enforce an official rule which says that something is not
allowed","Most governments have imposed a ban on the sale of tobacco
to those aged under 16.","Hầu hết các chính phủ đều ban hành lệnh cấm bán thuốc lá cho
người dưới 16.",phrase,IELTS
to convict a criminal,,kết án tù ai đó,to find an offender guilty and to punish them,"Once the courts have convicted a criminal, the punishment
should be severe.","Một khi tòa đã tuyên án, hình phạt phải được thực thi.",phrase,IELTS
law-abiding citizens,,người tuân thủ pháp luật,people who obey and respect the law,"The government could take some effective steps to protect law-
abiding citizens.","Chính phủ cần có biện pháp hiệu quả để bảo vệ những công dân
tuân thủ pháp luật.",phrase,IELTS
to enforce the law,,thực thi pháp luật,to make sure that the law is obeyed,The role of the police and the courts is to enforce the law.,Vai trò của cảnh sát và tòa án là thực thi pháp luật.,phrase,IELTS
capital punishment,,án tử hình,punishment by death,"In some states of America, those who commit murder are
sometimes sentenced to capital punishment.","Ở một số bang của nước Mỹ, những người phạm tội giết người phải
chịu án tử hình.",phrase,IELTS
forensic evidence,,bằng chứng pháp y,"connected with the scientific tests conducted by the police when
investigating a crime","Modern police methods include the use of forensic evidence,
such as DNA samples, to investigate crimes.","Những phương pháp hiện đại của cảnh sát bao gồm việc sử dụng
các bằng chứng pháp y, ví dụ như lấy mẫu DNA để điều tra tội phạm.",phrase,IELTS
to instal surveillance cameras,,cài đặt camera giám sát,to put cameras in a place where a crime is likely to be committed,"The security company has installed surveillance cameras at all
the entrances and exits of the shopping mall.","Công ty an ninh đã cài đặt những camera giám sát ở tất cả cửa ra
vào và cửa thoát hiểm của khu mua sắm.",phrase,IELTS
to put on probation,,chịu án treo,"to make a convicted person see an official at regular intervals to
check on their good behavior, as an alternative to going to prison","The young offender was put on probation, as his crime was not
serious enough to send him to prison.","Thanh niên phạm tội được hưởng án treo vì tội trạng của anh ta
không nghiêm trọng tới mức phải ở tù.",phrase,IELTS
to punish wrongdoers,,trừng trị người phạm tội,to punish people who do something illegal,"Stricter measures must be introduced by governments to punish
wrongdoers.","Những biện pháp nghiêm khắc hơn cần được chính phủ đưa ra để
trừng trị kẻ phạm tội.",phrase,IELTS
to arrest suspects,,tạm giam đối tượng tình nghi,"to stop and hold people who the police think may have
committed a crime","The government should give the police greater powers to arrest
suspects.","Chính phủ cần trao quyền hạn nhiều hơn cho cảnh sát để bắt tạm
giam kẻ tình nghi.",phrase,IELTS
the letter of the law,,tính xác đáng của thuật ngữ pháp lý,"the exact wording of the law, without considering any excuses","I believe that the courts must apply the strict letter of the law
and impose the harshest possible sentences on criminals.","Tôi tin rằng các tòa án cần áp dụng tính xác đáng trong thuật ngữ
pháp lý một cách khắt khe và áp dụng hình phạt nặng nhất có thể đối với
những kẻ phạm tội.",phrase,IELTS
