word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
To buy at auction,,mua hàng đấu giá,"to buy something at a usually public sale of goods or property,
where people make higher and higher bids (= offers of money) for each thing,
until the thing is sold to the person who will pay most","Buying a property at an auction can be a nerve-wracking or
exhilerating experience.","Mua bất động sản đấu giá có thể rất hại não hoặc có thể là một trải
nghiệm đáng giá.",phrase,IELTS
To squander a chance/ savings,,lãng phí cơ hội/ số tiết kiệm,"to waste money or supplies, or to waste opportunities by not using
them to your advantage","James squandered all his savings in an unsuccessful business
venture to sell ice cream in Alaska.","James đã lãng phí tất cả tiền tiết kiệm vào vụ kinh doanh mạo hiểm
không thanh công khi bán kem ở Alaska.",phrase,IELTS
Overhead cost,,chi phí cố định,"refers to regular costs required to run a business, such as rent,
electricity, wages etc","An increase in rents in the shopping mall increased the overhead
costs of all the shops which operated there.","Việc tăng tiền thuê mặt bằng ở trung tâm thương mại đã làm tăng chi
phí cố định của tất cả các cửa hàng kinh doanh ở đây.",phrase,IELTS
A takeover,,mua lại/ tiếp quản,an act of taking over a company by buying its shares,"Sony made a successful takeover of the broadcasting company
CBS.",Sony đã tiếp quản thành công đài truyền hình CBS.,phrase,IELTS
A merger,,sự sáp nhập,the action of joining two or more businesses into one,"The directors of Kentucky Fried Chicken and Burger King are
considering a merger of the two companies.","Các nhà quản lí của Gà rán Kentucky và Burger King đang xem xét việc
sáp nhập 2 công ty thành 1.",phrase,IELTS
A heavy workload,,khối lượng công việc lớn,having many tasks to perform,"Many employees of the company take time off work because of
illness and stress due to the heavy workload.","Rất nhiều nhân viên của công ty đã xin nghỉ do ốm đau và áp lực tới từ
khối lượng công việc quá lớn.",phrase,IELTS
Compensation,,tiền đền bù,"something that somebody gives you [usually money] because they
have hurt you or damaged something that you own","I received a large sum of money as compensation for the injury
which I sustained at work.","Tôi đã nhận được một khoảng lớn tiền đền bù cho chấn thương tôi gặp
phải khi đang làm việc.",phrase,IELTS
Revenue,,Lợi nhuận,"the money that a government receives from taxes or which a
company receives from its business","The tax revenues of the government have fallen as a result of the
economic crisis.",Khoản thu từ thuế của chính phủ giảm xuống do khủng hoảng kinh tế.,phrase,IELTS
White-collar,,nhân viên văn phòng/ dân công sở,"working in an office, not a factory","The insurance company is offering some white-collar jobs if you
want to apply.","Công ty bảo hiểm đang tuyển dụng một số vị trí văn phòng nếu như
bạn muốn đăng ký.",phrase,IELTS
Blue-collar,,công nhân,connected with people who do physical work in industry,He's a blue-collar worker in a car factory.,Anh ấy là một công nhân trong nhà máy sản xuất ô tô.,phrase,IELTS
To run your own business,,tự làm chủ/ kinh doanh,to have a business which you own,"I was tired of working for other people, so I decided to run my own
business.","Tôi đã quá chán phải làm việc cho người khác nên tôi quyết định tự
kinh doanh.",phrase,IELTS
To earn a living,,kiếm sống,to earn money,"I used to earn a living as a teacher, but now I sell used cars.","Tôi từng kiếm sống bằng nghề giáo viên, nhưng giờ thì tôi đi bán ô tô
cũ, đã qua sử dụng.",phrase,IELTS
Enhance their public image,,nâng cao hình ảnh,to make their company appear more attractive to people,"In order to enhance their public image, some companies donate
large sums of money to charities.","Để nâng cao hình ảnh của mình với công chúng, một số công ty đã
quyên góp một số tiền rất lớn cho việc từ thiện.",phrase,IELTS
To grow a business,,mở rộng kinh doanh,"to expand a business, usually a new one","The company started one year ago with only one shop, but they
have grown the business and now have ten shops.","Công ty đó đã bắt đầu kinh doanh một năm trước chỉ với một cửa hang,
nhưng họ đã nhanh chóng mở rộng kinh doanh và giờ có 9 cửa hang.",phrase,IELTS
To gain a competitive edge,,có được lợi thế cạnh tranh,"to achieve an advantage over another company or organization,
often by providing the same goods or services at a lower price","The high quality of VW cars, combined with their affordable price,
has enabled the company to gain a competitiveedge over all its rivals in
world markets.","Chất lượng cao của những chiếc ô tô Volks Swagen, cùng với giá cả hợp
lý đã khiến công ty có lợi thế cạnh tranh hơn tất cả đối thủ trên thị trường thế
giới.",phrase,IELTS
Maximize profits,,tối đa hóa lợi nhuận,to increase profits to the highest possible level,"The company has hired a marketing consultant to recommend how
to maximize profits next year.","Công ty đã thuê 1 tư vấn marketing tới để tư vấn làm thế nào để tối đa
hóa lợi nhuận kỳ sau.",phrase,IELTS
To conduct a business,,xây dựng việc kinh doanh,to operate a business in a particular way,"It is important to conduct a business with honesty in order to gain
the confidence of customers.","Việc kinh doanh với sự chân thành là rất quan trọng để có được sự tin
cậy của người tiêu dung.",phrase,IELTS
To be made redundant,,bị sa thải,to lose one's job,"The car factory has closed and 1000 employees have been made
redundant.",Nhà máy sản xuất ô tô bị đóng cửa và 1000 nhân viên bị mất việc.,phrase,IELTS
Pension scheme,,Chế độ lương hưu.,"a system in which you and your employer pay money regularly into
a fund, to use when you retire from work","One of the benefits of working for a big corporation is that such
large companies usually provide a good pension scheme.","Một trong những lợi ích của việc làm cho công ty liên doanh lớn là
những công ty lớn thường có chế độ lương hưu rất tốt.",phrase,IELTS
to broadcast propaganda,,tuyên truyền qua đài phát thanh/ truyền hình,"to send out a programme on television or radio that may be
false or exagerrated in order to gain support for a political leader, a party
etc","The media in North Korea broadcast propaganda every day
about the dangers of war with South Korea and the USA.","Truyền thông của Bắc Triều Tiên tuyên truyền trên đài phát thanh và
truyền hình hàng ngày về nguy cơ chiến tranh với Nam Triều Tiên và Hoa
Kỳ.",phrase,IELTS
a leading article,,bài xã luận,"a piece of writing which deals with the most important news
item of the day.","Newspapers in my country often have a leading article on some
sensational crime that has been committed.","Báo chí nước tôi thường có bài xã luận về những vụ đánh ghen đã
xảy ra.",phrase,IELTS
editorial policy,,chính sách biên tập,"the policy of the newspaper, as decided by the person in charge
of producing the newspaper","The editorial policy of a newspaper determines whether serious
news items are reported in a responsible way.","Chính sách biên tập của một tờ báo quyết định những tin tức mới
nghiêm trọng có được viết một cách có trách nhiệm hay không.",phrase,IELTS
yellow journalism,,báo lá cải,"is a type of journalism that presents little or no legitimate well-
researched news and instead uses eye-catching headlines to sell more
newspapers.","Techniques used in yellow journalism may include exaggerations
of news events, scandal-mongering or sensationalism","Thủ đoạn hay sử dụng trong báo lá cải thường là nói quá về các sự
kiện, scandal hay các tin giật gân.",phrase,IELTS
to carry a story,,truyền tải/ chứa đựng câu chuyện nào đó,to include an item in a news report,"The media nowadays carries too many stories about celebrities
and trivia and not enough serious news.","Truyền thông ngày nay thường truyền tải quá nhiều câu chuyện về
người nổi tiếng và không có đủ các tin tức quan trong khác.",phrase,IELTS
news coverage,,việc đưa tin tức,"the reporting of news and sport in newspapers, tv, or radio.","The US presidential election received global news coverage, so
that the whole world became interested in the outcome.","Cuộc bầu cử tổng thống Mỹ đã được đưa tin trên toàn cầu, cả thế
giới đều mong chờ biết kết quả.",phrase,IELTS
to make front page headlines,,tin trang nhất,"to be an important item of news in the newspapers, on radio or
TV.","It seems that every insignificant event in the lives of celebrities
makes front page headlines.","Có vẻ như từng sự kiện không quan trọng trong cuộc sống của
người nổi tiếng đều có thể trở thành những tin trang nhất các báo.",phrase,IELTS
breaking news,,"tin nóng, tin đặc biệt","newly received information about an event that is currently
taking place","One disadvantage of the printed media is that it is unable to
carry the latest breaking news stories.",Một bất lợi của báo in là không thể có những tin nóng mới nhất.,phrase,IELTS
up to the minute,,cập nhật từng phút,having the latest information,"Newspapers are unable to provide up to the minute news
coverage of events as they happen.","Báo chí không thể cập nhật tin tức từng phút về sự kiện ngay khi
vừa diễn ra.",phrase,IELTS
stale news,,tin cũ rich,"information that is no longer interesting or new, because it has
already been reported","Newspapers have now become only a source of stale news,
which is a major reason why they have become less popular.","Báo chí hiện nay đã trở thành nguồn tin cũ, là nguyên nhân chủ yếu
khiến chúng trở nên ít phổ biến hơn.",phrase,IELTS
falling circulation,,lượng phát hành đang giảm,"the decline in the number of copies of a newspaper sold each
day","As a result of their falling circulation, newspapers are losing
advertising revenue.","Do lượng phát hành giảm xuống, các tờ báo đang mất đi doanh thu
từ việc quảng cáo.",phrase,IELTS
celebrity endorsement,,sự tham gia của người nổi tiếng,"A form of brand or advertising campaign that involves a well
known person using their fame to help promote a product or service","Celebrity endorsement by famous TV stars is commonly used by
companies to encourage consumers to trust and buy their products.","Sự tham gia của những ngôi sao truyền hình nổi tiếng thường được
các công ty sử dụng để khuyến khích người tiêu dùng tin và mua sản
phẩm của họ.",phrase,IELTS
to subscribe to a magazine,,mua tạp chí dài hạn,to pay money regularly in order to receive a copy of a magazine,"Those with a strong interest in a particular field sometimes prefer
to subscribe to a magazine which has articles relating to that area.","Những người có nhiều hứng thú về 1 lĩnh vực cụ thể có thể đặt mua
dài hạn cuốn tạp chí thuộc lĩnh vực đó.",phrase,IELTS
the financial/business sections,,lĩnh vực tài chính,the economic area relating to money or how money is managed,"Newspapers have increasingly turned to providing expert,
detailed analysis of recent events, for example in their financial or
business sections.","Các tờ báo đang hướng đến việc cung cấp những phân tích chuyên
nghiệp, chi tiết về các sự kiện gần đây, đặc biệt trong lĩnh vực tài chính
hoặc kinh doanh.",phrase,IELTS
online advertising,,quảng cáo trực tuyến,advertising a product or service on the internet,"The growing popularity of online advertising has resulted in a
loss of revenue for the printed media in general.","Sự phổ biến ngày càng rộng rãi của quảng cáo trực tuyến đã dẫn
đến sự thất thu cho báo in nói chung.",phrase,IELTS
to slash the prices of products,,giảm giá sốc,to reduce the price dramatically,"Supermarkets, for example, always carry huge in-store
advertisements when they slash the prices of products.","Các siêu thị luôn tiến hành các chương trình xúc tiến lớn tại chỗ khi
họ giảm giá sốc các sản phẩm.",phrase,IELTS
to be wary of something,,thận trọng với cái gì,not completely trusting or certain about something,"Consumers must always be wary of the claims made in
advertisements, because such claims are often exagerrated or untrue.","Người tiêu thụ phải luôn thận trọng với những tuyên bố trong các
quảng cáo, vì những lời đó thường nói quá lên hoặc không đúng sự thật.",phrase,IELTS
to promote their products,,xúc tiến sản phẩm,to make products popular by advertising them,"Most large enterprises contract specialist marketing companies
to promote their products.","Đa số các doanh nghiệp lớn ký hợp đồng với những công ty chuyên
về marketing để xúc tiến sản phẩm.",phrase,IELTS
to buy goods impulsively,,mua hàng một cách bốc đồng,"to buy things suddenly without any planning and without
considering the effects they may have",Advertising motivates consumers to buy goods impulsively.,"Quảng cáo kích động người tiêu dùng mua hàng một cách bốc
đồng.",phrase,IELTS
to be swayed by advertisements,,bị dao động bởi quảng cáo,to be influenced to buy things as a result of advertising,"If consumers were not easily swayed by advertisements, the
advertising industry would not exist.","Nếu người tiêu dùng không dễ bị dao động bởi quảng cáo thì
ngành công nghiệp quảng cáo đã không tồn tại.",phrase,IELTS
market research,,nghiên cứu thị trường,the action of collecting information about what people buy,"In deciding how to promote their products or services, businesses
should first conduct market research.","Trong việc quyết định xúc tiến sản phẩm hay dịch vụ, nhà kinh
doanh trước hết cần tiến hành nghiên cứu thị trường.",phrase,IELTS
a price war,,cuộc chiến về giá,"a situation in which companies or shops continually reduce their
prices in order to attract customers away from their competitors",Advertising plays a key role in price wars between supermarkets.,"Quảng cáo đóng vai trò quyết định trong cuộc chiến về giá giữa các
siêu thị.",phrase,IELTS
to launch a product,,phát hành sản phẩm,to introduce a new product,"Companies have recognised that the services of the marketing
industry are essential to launch a new product successfully.","Công ty đã nhận ra dịch vụ marketing là rất cần thiết để phát hành
sản phẩm thành công.",phrase,IELTS
target audience,,khách hàng mục tiêu,consumers whom businesses aim at when selling their products,"Companies which sell soft drinks, like Coca Cola, aim mainly at a
target audience of children and adolescents.","Các công ty bán nước giải khát như Coca Cola chủ yếu nhắm tới
khách hàng mục tiêu là trẻ em và trẻ vị thành niên.",phrase,IELTS
brand awareness,,nhận thức thương hiệu,"the action of bringing the name of a company to the attention of
the public","Advertising, not the quality of the product, is responsible for
creating brand awareness among consumers, as can be seen by the
success of market leaders such as Nike or Coca Cola.","Quảng cáo, chứ không phải chất lượng của sản phẩm, là điều tạo
nên sự nhận thức thương hiệu của người tiêu dùng. ĐIều này có thể thấy
bởi sự thành công của những doanh nghiệp dẫn đầu thị trường như Nike
hay Coca Cola.",phrase,IELTS
prime time television,,giờ vàng,the hours during which most people are watching TV,"Although advertising on prime time television is expensive, it is
guaranteed to reach a large audience.","Dù quảng cáo vào giờ vàng rất đắt, nhưng lại đảm bảo tiếp cận
được số người xem rất đông.",phrase,IELTS
the electronic media,,truyền thông điện tử,"broadcast media which use electronic technology, such as the
internet, television, radio, DVDs etc","In contast to print media, the electronic media are growing in
popularity, especially among the youth.","Trái ngược với truyền thông giấy, truyền thông điện tử đang ngày
càng phổ biến, đặc biệt với giới trẻ.",phrase,IELTS
to impose regulations on,,đặt quy định cho cái gì,to control something by means of rules,"Governments must impose regulations on the advertising
industry in order to protect consumers.","Chính phủ cần đặt quy định cho ngành quảng cáo để bảo vệ người
tiêu dùng.",phrase,IELTS
commercial advertising,,quảng cáo thương mại,"advertising on the radio or television, between or during
programmes.","Commercial advertising on television provides the revenue for
most TV channels.","Quảng cáo thương mại trên tivi mang đến nguồn doanh thu cho đa
số các kênh truyền hình.",phrase,IELTS
telemarketing,,tiếp thị qua điện thoại,"a method of selling things or taking orders for sales by
telephone","Telemarketing has become a growth industry, employing
millions of people across the world.","Tiếp thị qua điện thoại đã trở thành một nghề phổ biến, có hàng
triệu người trên khắp thế giới làm nghề này.",phrase,IELTS
beyond comprehension,,"quá tầm hiểu biết/ nhận thức, không thể hiểu/ tin
được","impossible to understand, unbelievable","It is beyond comprehension that some politicians deny the
reality of global warming","Không thể tin được khi một số chính trị gia phủ nhận việc nóng lên
toàn cầu.",phrase,IELTS
critical thinking,,tư duy phản biện,"the process of analyzing information in an objective way, in
order to make a judgment about it",Critical thinking skills enable students to evaluate information.,Kỹ năng tư duy phản biện cho phép học sinh đánh giá thông tin.,phrase,IELTS
broaden one's literary horizons,,mở mang hiểu biết văn học,"to widen the limit of your desires, knowledge, or interests by
reading widely","Schools should broaden the literary horizons of pupils by
encouraging them to read in class and at home.","Trường học nên mở mang hiểu biết văn chương của học sinh bằng
cách khuyến khích các em đọc tại lớp và tại nhà.",phrase,IELTS
a turn of phrase,,một cách diễn đạt khác,a particular way of describing something,"In order to be a creative writer, a good turn of phrase is not as
important as imagination.","Để trở thành một nhà văn sáng tạo,, một cách diễn đạt tốt là rất cần
thiết.",phrase,IELTS
to read something into something,,nghĩ quá về cái gì,to think that something means more than it really does,"It is important not to read too much into election promises, but
rather to evaluate the actions of governments.","Quan trọng là không nghĩ quá nhiều về những lời hứa khi bầu cử,
mà hãy đánh giá hành động thực sự của chính phủ đó.",phrase,IELTS
a period of readjustment,,thời gian thích nghi,the act of getting used to a changed or new situation,"Those who migrate to cities have to undergo a painful period
ofreadjustment in their search for a better life.","Những người dân di cư tới thành phố sẽ phải trải qua một thời gian
khó khăn để thích nghi để có cuộc sống tốt hơn.",phrase,IELTS
to read on,,đọc tiếp,to continue reading,"In the busy lives which many people lead today, we have become
accustomed to glance quickly at news stories and we fail to read on and
discover the facts behind the headlines.","Trong cuộc sống bận rộn của nhiều người hiện nay, chúng ta đã
quen với việc chỉ liếc qua những tin tức mới mà không đọc tiếp và tìm hiểu
sự thật đằng sau những cái đầu đề.",phrase,IELTS
to break with precedent,,phá vỡ tiền lệ,to do something in a different way,"I believe that universities should break with precedent and
admit more women to engineering and science courses.","Tôi tin rằng các trường đại học nên phá vỡ tiền lệ và nhận nhiều phụ
nữ vào các khóa học kỹ sư và khoa học hơn.",phrase,IELTS
to read over something,,"đọc kỹ, đọc từ đầu đến cuối","to read something carefully from beginning to end to look for
mistakes or check details","Attention to detail is so important in many jobs, so the practice
of reading over one's written work should be taught at school and
university.","Sự cẩn thận, tập trung từng chi tiết là rất quan trọng trong nhiều
công việc, nên việc thực hành đọc một tác phẩm từ đầu đến cuối nên được
dạy ở trường học và đại học.",phrase,IELTS
to come to somebody's knowledge,,được ai đó biết tới,to become known by somebody,"If it comes to the knowledge of your manager that you are
honest and hard-working, your promotion prospects will be improved.","Nếu được nhà quản lí biết tới là một người chân thành và chăm chỉ
thì khả năng được thăng tiến của bạn sẽ tốt hơn.",phrase,IELTS
safe in the knowledge that,,chắc chắn về cái gì đó,"confident because you know that something is true or will
happen","I would recommend that people should eat only organic food,
safe in the knowledge that it contains no harmful chemicals.","Tôi cho rằng mọi người chỉ nên ăn thực phẩm hữu cơ vì biết chắc
rằng nó không có các hóa chất độc hại.",phrase,IELTS
to dig deep (into something),,đào sâu tìm hiểu về cái gì,to search thoroughly for information,"Computer technology has enabled authorities to dig deep into
all kinds of personal records relating to ordinary citizens.","Công nghệ thông tin đã cho phép chính quyền các nước tìm hiểu
sâu về các loại thông tin cá nhân liên quan đến công dân của họ.",phrase,IELTS
to do something to the letter,,làm đúng theo hướng dẫn,"to do exactly what somebody or something instructs, paying
attention to every detail","It is important to apply the law to the letter, so that every illegal
action is punished.","Cần phải áp dụng luật đúng theo hướng dẫn, để mọi việc làm trái
pháp luật đều bị trừng phạt.",phrase,IELTS
to stick in your mind,,in đậm trong tâm trí,"(of a memory, an image, etc.) to be remembered for a long time","When children learn a foreign language in primary school, words
and phrases tend to stick in their minds almost without the effort of
learning them in a formal way.","Khi trẻ em được học ngoại ngữ ở trường tiểu học, từ và các cụm từ
thường sẽ in đậm trong tâm trí chúng mà không cần phải cố học thuộc.",phrase,IELTS
to sharpen something (up),,"làm cái gì đó thêm sâu sắc, nhạy bén","to become or make something better, more skilful, more
effective, etc. than before","The opportunity to do an internship with a company enables
students to sharpen up the theoretical knowledge gained at college.","Cơ hội thực tập ở một công ty cho phép sinh viên hiểu lý thuyết
được học ở trường sâu sắc hơn.",phrase,IELTS
to write off somebody/something,,xóa bỏ/ loại bỏ cái gì,"to decide that somebody or something is a failure and not worth
paying attention to","Space projects should not be written off as expensive failures,
because space represents the new frontier for exploration.","Các dự án nghiên cứu không gian vũ trụ không nên bị loại bỏ như là
những thất bại gây tốn kém, bởi vì không gian sẽ là một hướng khám phá
mới.",phrase,IELTS
to be engrossed in,,mê mải vào cái gì,to be completely focused on something,"A good work-life balance is important, because if people are too
engrossed in their work their family life may suffer.","Việc cân bằng tốt giữa cuộc sống với công việc là rất quan trọng vì
nếu quá mải mê với công việc, cuộc sống gia đình sẽ bị ảnh hưởng.",phrase,IELTS
to understand somebody/something to be/have something,,tin cái gì đó/ cho là,"to think or believe that something is true because you have been
told that it is","The President is understood to be in favour of more spending
on the military.",Chủ tích nước được cho là sẽ chi nhiều hơn cho quân sự.,phrase,IELTS
conduct somebody/something,,"dẫn dắt, hướng dẫn ai đó",to lead or guide somebody through or around something,"Work experience conducts people who are new in a profession
through some of the practical difficulties which they will face.","Kinh nghiệm làm việc dẫn dắt những người bắt đầu lĩnh vực mới
thông qua một số khó khăn thực tế họ gặp phải.",phrase,IELTS
secure in the knowledge,,"tự tin, chắc chắn",not worried because you are sure that nothing bad will happen,"Students who work hard throughout the year will be confident
when they take exams, secure in the knowledge that they are well-
prepared.",,phrase,IELTS
bedtime stories,,truyện kể trước khi đi ngủ,stories told to children before they sleep,"Parents should spend time with their children, for example by
telling them bedtime stories every night.","Cha mẹ nên dành nhiều thời gian với con cái, ví dụ như kể chuyện
cho con nghe mỗi tối.",phrase,IELTS
to be a story of,,trở thành câu chuyện,to be a history of particular events,"The problem of waste disposal in my country has been a
story of confusion and bad management.","Vấn đề xử lí rác thải của nước tôi là câu chuyện của quản lý yếu
kém.",phrase,IELTS
to run a story,,"viết, kể, thảo một câu chuyện","to print an article, to show a news report","The media nowadays runs many stories on environmental
concerns.","Truyền thông hiện nay đang nói lên nhiều câu chuyện xung quanh
vấn đề môi trường.",phrase,IELTS
a success story,,câu chuyện về sự thành công,a person or thing that is very successful,"Although some people have great talent in their field, behind
every success story there is always a lot of hard work and effort.","Dù nhiều người rất tài năng trong lĩnh vực của họ, nhưng sau mỗi
câu chuyện thành công luôn cần sự nỗ lực và chăm chỉ làm việc.",phrase,IELTS
to tell its own tale/to tell its own story,,"tự thuật, tự nói lên tất cả.","to explain itself, without needing any further comment","Governments have failed to control traffic congestion in cities.
The level of air pollution in all major urban centres tells its own story.","Chính phủ đã thất bại trong việc giải quyết nạn tắc đường ở các
thành phố. Mức độ ô nhiễm không khí ở các khu đô thị đã tự nói lên tất
cả.",phrase,IELTS
to read between the lines,,"hiểu rõ những gì đọc được/ nghe thấy/ biết
đến",to look for a meaning that is not openly stated,"Reading between the lines, the reports of recent international
conferences are not optimistic about achieving agreement on climate
change.","Hiểu rõ những gì đang xảy ra, các báo cáo ở những hội thảo gần
đây không lạc quan lắm về việc đạt được thỏa thuận về thay đổi khí hậu.",phrase,IELTS
to read up on,,tìm kiếm thông tin trong sách,"to find information in a book or other written source about
something.","When deciding which university course to study, it is essential
toread up on the subject before making a final choice.","Khi quyết định khóa học đại học, cần phải tìm kiếm thông tin trong
sách và tài liệu viết về môn học trước khi đi đến quyết định cuối cùng.",phrase,IELTS
to come highly recommended,,được đánh giá cao,to be praised by a lot of people,"Books by classic authors always come highly recommended,
but
work by new and talented writers should not be overlooked.","Sách viết của các tác giả cũ thường được đánh giá cao, nhưng cũng
Không nên bỏ qua những tài năng mới.",phrase,IELTS
literary appreciation,,cảm thụ văn học,"pleasure that you have when your recognize and enjoy the
qualities of a good piece of writing","Children develop literary appreciation if they are encouraged
by parents and teachers to love reading.","Trẻ em phát triển khả năng cảm thụ văn học khi chúng được thầy
cô và cha mẹ khuyến khích đọc sách.",phrase,IELTS
a literary genius,,thiên tài văn học,a person with exceptional and rare talent for writing,"Although a literary genius like Shakespeare is rare, it is
important for governments to subsidise creative writing classes for all
ages.","Dù một thiên tài văn học như Shakespeare là rất hiếm có, nhưng
chính phủ cần phải tài trợ cho những lớp học viết tài năng cho mọi lứa
tuổi.",phrase,IELTS
social services,,cơ quan dịch vụ xã hội,"a system that is organized by the government to help people
who have financial or family problems; the department or the people who
provide this help","Governments should assist poor families through the provision of
adequate social services.","Chính phủ nên hỗ trợ các hộ gia đình nghèo thông qua việc thiết lập
đầy đủ các cơ quan dịch vụ xã hội.",phrase,IELTS
domestic violence,,bạo lực gia đình,violence among family members in the home,"Children who witness domestic violence between parents often
develop problems.","Những trẻ em đã từng chứng kiến bạo lực gia đình giữa bố mẹ mình
thường phát triển nhiều vấn đề.",phrase,IELTS
social conscience,,ý thức xã hội,"the state of being aware of the problems that affect a lot of
people in society, such as being poor or having no home, and wanting to
do something to help these people","Charities depend on the social conscience of the public in order
to obtain donations and recruit volunteer helpers.","Các hoạt động từ thiện phụ thuộc vào ý thức xã hội của toàn thể
cộng đồng để có thế được ủng hộ, quyên góp cũng như thu nạp các tình
nguyện viên",phrase,IELTS
social networking sites,,trang mạng xã hội,"a website that you use to communicate with people who share
your interests","An excellent way to learn another language is to make friends on
social networking sites with people who speak that language.","Một cách học tiếng nước ngoài tuyệt vời đó là kết bạn với những
người nói cùng thứ tiếng đó trên các mạng xã hội",phrase,IELTS
social and community centres,,Trung tâm văn hóa cộng đồng,"places where people who live in the same area can meet for
events or to do different activities","Elderly people who live alone are able to make friends and enjoy
life more if local authorities provide social and community centres.","Những người già neo đơn có thể làm bạn và tận hưởng cuộc sống
nhiều hơn nếu như các nhà chức trách địa phương xây dựng các trung tâm
văn hóa cộng đồng.",phrase,IELTS
a multicultural society,,xã hội đa văn hóa,"a society which includes people of different origins, traditions
and languages","Immigration has led to the development of multicultural
societies in the US, Europe and Australia.","Người nhập cư đã tạo nên sự phát triển xã hội đa văn hóa ở Mỹ,
Châu Âu và Úc",phrase,IELTS
